turkid,condition,replicate,startdate,enddate,week,chosen_duration,chosen_frequency,chosen_content,chosen_location,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,5,0,0,0,0,2024-04-22T19:08:36Z,10.312999963760376,4,0,2
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,6,0,0,0,0,2024-04-22T19:08:41Z,4.4730000495910645,4,0,0
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,7,0,0,0,0,2024-04-22T19:08:50Z,9.319999933242798,4,0,0
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,8,0,0,0,0,2024-04-22T19:08:54Z,3.999000072479248,4,0,0
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,1,1,0,1,2,2024-04-22T19:08:35Z,0,1,1,0
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,2,3,0,0,0,2024-04-22T19:08:49Z,13.788000106811523,2,2,3
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,3,0,2,2,0,2024-04-22T19:09:03Z,14.230999946594238,1,1,3
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,4,3,2,0,0,2024-04-22T19:09:14Z,11.007999897003174,2,3,2
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,5,3,1,0,1,2024-04-22T19:09:25Z,10.888999938964844,2,2,2
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,6,1,2,1,0,2024-04-22T19:09:39Z,14.016000032424927,2,1,4
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,7,0,2,1,0,2024-04-22T19:09:44Z,4.730000019073486,1,1,1
5d790c98242bbf0017c128ee,Increasing,3,2024-04-22 19:08:17,2024-04-22 19:09:55,8,0,1,1,0,2024-04-22T19:09:49Z,5.89300012588501,2,0,1
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,1,0,1,0,2,2024-04-22T19:07:41Z,0,2,2,0
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,2,2,0,1,0,2024-04-22T19:08:15Z,33.63000011444092,0,0,4
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,3,1,1,2,1,2024-04-22T19:08:27Z,11.507999897003174,3,1,4
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,4,0,2,1,2,2024-04-22T19:08:44Z,17.437999963760376,1,2,4
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,5,0,0,0,1,2024-04-22T19:08:55Z,10.90499997138977,0,3,3
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,6,3,1,2,0,2024-04-22T19:09:12Z,17.24400019645691,2,0,4
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,7,2,1,2,2,2024-04-22T19:09:42Z,30.259999990463257,3,0,2
661ad945491cd64549e37d48,Increasing,2,2024-04-22 19:07:20,2024-04-22 19:10:16,8,1,1,2,2,2024-04-22T19:10:02Z,19.25499987602234,4,0,1
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,1,0,0,0,0,2024-04-22T19:13:41Z,0,0,1,0
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,2,0,1,1,2,2024-04-22T19:14:04Z,23.292999982833862,1,1,3
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,3,3,0,1,0,2024-04-22T19:14:23Z,18.51800012588501,0,3,3
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,4,1,1,1,2,2024-04-22T19:14:39Z,16.566999912261963,2,1,3
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,5,2,2,0,2,2024-04-22T19:14:54Z,15.21399998664856,0,1,3
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,6,1,0,1,1,2024-04-22T19:15:08Z,13.299999952316284,2,1,4
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,7,1,0,2,1,2024-04-22T19:15:18Z,10.854000091552734,3,0,1
5e3d2ab94aebac111b5f6cd2,Flat,3,2024-04-22 19:13:27,2024-04-22 19:15:37,8,1,0,2,0,2024-04-22T19:15:30Z,11.641000032424927,2,1,1
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,1,0,2,1,1,2024-04-22T19:14:58Z,0,2,2,0
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,2,0,2,2,1,2024-04-22T19:15:05Z,7.329999923706055,1,3,1
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,3,0,2,0,1,2024-04-22T19:15:10Z,5.194999933242798,1,2,1
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,4,0,2,0,2,2024-04-22T19:15:16Z,5.588000059127808,1,1,1
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,5,0,1,0,0,2024-04-22T19:15:25Z,9.129999876022339,2,0,2
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,6,1,2,0,0,2024-04-22T19:15:31Z,6.318000078201294,1,1,2
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,7,0,0,0,0,2024-04-22T19:15:41Z,9.219000101089478,3,0,2
60cfc32c983f7aa662977d76,Flat,3,2024-04-22 19:14:40,2024-04-22 19:15:54,8,0,0,0,0,2024-04-22T19:15:47Z,6.819000005722046,3,0,0
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,1,0,0,0,0,2024-04-22T19:16:52Z,0,3,1,0
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,2,0,1,0,0,2024-04-22T19:18:07Z,75.02799987792969,2,1,1
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,3,2,0,0,0,2024-04-22T19:18:19Z,12.049999952316284,4,0,2
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,4,1,1,0,2,2024-04-22T19:18:58Z,39.14100003242493,1,1,3
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,5,1,1,0,0,2024-04-22T19:19:04Z,5.621000051498413,2,0,1
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,6,3,0,0,0,2024-04-22T19:19:10Z,6.276000022888184,3,0,2
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,7,0,2,0,0,2024-04-22T19:19:17Z,6.546000003814697,2,2,2
5d869a57c38e8100012f3c29,Flat,3,2024-04-22 19:16:42,2024-04-22 19:19:43,8,1,1,0,0,2024-04-22T19:19:37Z,19.88699984550476,2,0,2
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,1,1,0,0,1,2024-04-22T19:11:00Z,0,4,2,0
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,2,0,0,1,1,2024-04-22T19:11:11Z,10.652000188827515,2,1,2
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,3,1,0,0,0,2024-04-22T19:11:18Z,7.625,3,2,3
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,4,3,0,0,1,2024-04-22T19:11:25Z,6.319999933242798,3,3,2
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,5,0,2,1,1,2024-04-22T19:11:32Z,6.894999980926514,1,0,3
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,6,1,1,0,1,2024-04-22T19:11:41Z,9.20900011062622,3,1,3
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,7,3,0,0,2,2024-04-22T19:11:48Z,7.448999881744385,2,4,3
6626a85637fc8e874d77d5ae,Flat,2,2024-04-22 19:10:46,2024-04-22 19:11:58,8,1,0,2,1,2024-04-22T19:11:54Z,6.183000087738037,3,1,3
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,1,0,2,0,0,2024-04-22T19:14:15Z,0,2,1,0
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,2,0,2,1,1,2024-04-22T19:14:30Z,14.11899995803833,2,2,2
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,3,0,2,1,0,2024-04-22T19:14:43Z,13.746999979019165,3,1,1
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,4,1,1,1,1,2024-04-22T19:15:01Z,17.83899998664856,2,1,3
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,5,0,2,1,0,2024-04-22T19:15:15Z,13.634999990463257,3,1,3
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,6,0,1,1,2,2024-04-22T19:15:27Z,12.664000034332275,3,0,2
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,7,0,1,1,0,2024-04-22T19:15:36Z,8.36899995803833,4,0,1
5eea1be10e95520beb9fa654,Flat,4,2024-04-22 19:13:16,2024-04-22 19:16:00,8,0,2,1,0,2024-04-22T19:15:55Z,19.69099998474121,3,1,1
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,1,1,1,0,0,2024-04-22T19:11:07Z,0,1,2,0
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,2,0,2,1,0,2024-04-22T19:11:21Z,14.045000076293945,2,2,3
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,3,0,2,2,0,2024-04-22T19:11:28Z,7.671999931335449,2,2,1
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,4,1,1,2,0,2024-04-22T19:11:34Z,5.973999977111816,0,1,2
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,5,2,1,1,0,2024-04-22T19:11:51Z,16.875,0,1,2
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,6,3,0,1,0,2024-04-22T19:11:56Z,4.894000053405762,0,2,2
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,7,3,0,0,0,2024-04-22T19:12:01Z,5.04200005531311,1,3,1
5f58c1e77a127b04f512baed,Increasing,1,2024-04-22 19:10:53,2024-04-22 19:12:16,8,0,2,0,0,2024-04-22T19:12:09Z,7.721999883651733,3,3,2
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,1,1,1,1,0,2024-04-22T19:11:11Z,0,2,0,0
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,2,1,0,1,0,2024-04-22T19:11:31Z,20.125999927520752,1,1,1
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,3,0,1,1,0,2024-04-22T19:11:48Z,16.742000102996826,3,0,2
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,4,0,1,0,0,2024-04-22T19:11:59Z,11.349999904632568,2,1,1
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,5,0,1,2,0,2024-04-22T19:12:06Z,7.006999969482422,2,0,1
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,6,0,1,1,2,2024-04-22T19:12:14Z,7.896000146865845,3,1,2
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,7,0,1,1,1,2024-04-22T19:12:22Z,7.177999973297119,4,0,1
60fc7b8dca87b4a87786220b,Flat,3,2024-04-22 19:11:01,2024-04-22 19:12:31,8,2,1,1,1,2024-04-22T19:12:26Z,4.437000036239624,3,1,1
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,1,0,1,0,2,2024-04-22T19:13:54Z,0,3,2,0
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,2,1,1,1,2,2024-04-22T19:14:17Z,23.493000030517578,3,0,2
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,3,1,1,2,0,2024-04-22T19:14:36Z,18.792999982833862,2,0,2
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,4,2,1,1,0,2024-04-22T19:14:49Z,12.931999921798706,1,0,2
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,5,0,2,0,1,2024-04-22T19:15:05Z,15.974999904632568,1,4,4
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,6,1,1,1,0,2024-04-22T19:15:32Z,26.866000175476074,2,0,4
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,7,1,1,0,2,2024-04-22T19:15:49Z,17.49899983406067,4,1,2
606b45db446b01c659706420,Flat,4,2024-04-22 19:13:38,2024-04-22 19:16:15,8,1,1,2,2,2024-04-22T19:16:09Z,19.81000018119812,3,0,1
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,1,0,0,0,0,2024-04-22T19:12:11Z,0,2,1,0
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,2,1,1,0,1,2024-04-22T19:12:30Z,18.302000045776367,1,0,3
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,3,1,1,1,2,2024-04-22T19:12:39Z,9.730999946594238,1,0,2
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,4,1,1,2,1,2024-04-22T19:12:46Z,6.3999998569488525,0,1,2
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,5,2,1,0,1,2024-04-22T19:12:55Z,8.894999980926514,1,0,2
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,6,0,2,0,1,2024-04-22T19:13:01Z,5.897000074386597,3,1,2
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,7,0,2,0,2,2024-04-22T19:13:09Z,7.901000022888184,4,1,1
5db21a3cad248e000dae8bc2,Increasing,4,2024-04-22 19:12:00,2024-04-22 19:13:28,8,0,2,0,0,2024-04-22T19:13:22Z,13.342000007629395,3,2,1
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,1,1,0,1,0,2024-04-22T19:14:36Z,0,0,1,0
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,2,3,1,2,0,2024-04-22T19:14:52Z,15.289999961853027,1,3,3
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,3,0,2,0,2,2024-04-22T19:15:06Z,14.305999994277954,2,1,4
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,4,1,1,0,1,2024-04-22T19:15:16Z,10.10700011253357,3,0,3
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,5,3,0,1,2,2024-04-22T19:15:26Z,10.308000087738037,0,1,4
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,6,0,0,0,1,2024-04-22T19:15:40Z,13.402999877929688,3,0,3
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,7,0,2,2,1,2024-04-22T19:15:49Z,9.522000074386597,2,2,2
5c288e65867f660001ae8f36,Flat,2,2024-04-22 19:14:06,2024-04-22 19:16:06,8,2,1,0,0,2024-04-22T19:16:00Z,11.065999984741211,2,1,4
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,1,1,0,1,2,2024-04-22T19:15:37Z,0,0,2,0
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,2,0,1,2,1,2024-04-22T19:15:54Z,16.993000030517578,1,0,4
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,3,0,2,0,2,2024-04-22T19:16:14Z,20.528000116348267,1,2,3
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,4,3,0,0,2,2024-04-22T19:16:30Z,15.44700002670288,0,4,2
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,5,2,1,1,0,2024-04-22T19:16:45Z,15.357999801635742,2,0,4
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,6,2,1,2,0,2024-04-22T19:17:06Z,21.338000059127808,3,0,1
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,7,2,2,2,0,2024-04-22T19:17:17Z,10.763000011444092,4,0,1
6019a575bd484911682112eb,Increasing,3,2024-04-22 19:15:13,2024-04-22 19:17:38,8,3,2,2,1,2024-04-22T19:17:29Z,12.141999959945679,2,1,2
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,1,1,1,1,0,2024-04-22T19:12:21Z,0,1,0,0
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,2,0,2,0,2,2024-04-22T19:12:36Z,15.292999982833862,3,2,4
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,3,1,1,0,2,2024-04-22T19:12:50Z,14.122000217437744,1,1,2
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,4,3,0,0,2,2024-04-22T19:13:05Z,15.16599988937378,1,2,2
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,5,1,1,1,2,2024-04-22T19:13:15Z,9.562000036239624,0,1,3
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,6,1,1,0,1,2024-04-22T19:13:27Z,12.004999876022339,1,0,2
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,7,1,1,0,0,2024-04-22T19:13:40Z,13.28600001335144,2,0,1
6277d9826e1cc6280aab7f0d,Increasing,1,2024-04-22 19:12:03,2024-04-22 19:13:59,8,0,2,0,0,2024-04-22T19:13:53Z,12.956000089645386,4,1,2
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,1,0,0,0,0,2024-04-22T19:12:38Z,0,1,0,0
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,2,1,0,2,0,2024-04-22T19:12:57Z,18.735000133514404,1,1,2
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,3,1,1,2,0,2024-04-22T19:13:12Z,15.116999864578247,1,2,1
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,4,2,0,2,2,2024-04-22T19:13:23Z,10.84600019454956,1,1,3
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,5,2,0,2,0,2024-04-22T19:13:31Z,8.36299991607666,2,1,1
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,6,1,0,1,0,2024-04-22T19:13:41Z,9.608000040054321,2,0,2
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,7,1,2,1,0,2024-04-22T19:13:50Z,9.157000064849854,3,0,1
5dd6abf622749763a10324ec,Increasing,4,2024-04-22 19:12:26,2024-04-22 19:14:16,8,1,2,1,0,2024-04-22T19:14:10Z,19.717000007629395,3,0,0
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,1,0,2,0,2,2024-04-22T19:11:30Z,0,2,3,0
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,2,0,2,1,2,2024-04-22T19:11:49Z,19.188999891281128,1,3,1
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,3,0,2,2,2,2024-04-22T19:12:08Z,18.993000030517578,1,4,1
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,4,1,1,1,2,2024-04-22T19:12:54Z,46.20900011062622,2,1,3
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,5,1,1,0,2,2024-04-22T19:13:05Z,10.950999975204468,3,1,1
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,6,3,1,1,2,2024-04-22T19:13:19Z,14.266999959945679,3,1,2
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,7,3,1,0,2,2024-04-22T19:13:33Z,13.812000036239624,4,1,1
55dd078350a1f7001090e238,Flat,4,2024-04-22 19:11:02,2024-04-22 19:14:19,8,3,1,0,1,2024-04-22T19:14:13Z,39.53099989891052,3,0,1
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,1,0,2,1,0,2024-04-22T19:15:04Z,0,2,1,0
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,2,3,2,1,0,2024-04-22T19:15:18Z,13.907000064849854,3,1,1
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,3,3,2,2,0,2024-04-22T19:15:24Z,6.242999792098999,2,2,1
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,4,3,1,2,0,2024-04-22T19:15:33Z,9.045000076293945,2,1,1
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,5,3,1,0,0,2024-04-22T19:15:37Z,4.562000036239624,2,0,1
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,6,1,1,1,2,2024-04-22T19:15:48Z,10.823999881744385,1,1,3
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,7,3,0,1,2,2024-04-22T19:16:09Z,20.526000022888184,3,1,2
653fcf588ab0516beb4bf546,Flat,1,2024-04-22 19:14:34,2024-04-22 19:16:22,8,3,0,1,0,2024-04-22T19:16:13Z,4.373000144958496,4,0,1
