turkid,choice,round,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion,project,project_chosen,valuation,activity,customers,competitors
45E4350FB3BD4822A222C9615DB454A6,2,9,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:27Z,7.163000106811523,191,2,1,800000,Biotechnology,5000,5
45E4350FB3BD4822A222C9615DB454A6,2,9,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:27Z,7.163000106811523,191,0,0,1600000,Electronics,3000,10
45E4350FB3BD4822A222C9615DB454A6,2,9,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:27Z,7.163000106811523,191,1,0,700000,Electronics,12000,7
45E4350FB3BD4822A222C9615DB454A6,0,10,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:33Z,6.36299991607666,191,2,0,3000000,Biotechnology,14000,8
45E4350FB3BD4822A222C9615DB454A6,0,10,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:33Z,6.36299991607666,191,0,1,700000,Robotics,3000,2
45E4350FB3BD4822A222C9615DB454A6,0,10,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:33Z,6.36299991607666,191,1,0,1000000,Electronics,7000,5
45E4350FB3BD4822A222C9615DB454A6,0,11,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:44Z,10.711000204086304,191,2,0,1800000,Biotechnology,11000,12
45E4350FB3BD4822A222C9615DB454A6,0,11,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:44Z,10.711000204086304,191,0,1,2000000,Robotics,6000,9
45E4350FB3BD4822A222C9615DB454A6,0,11,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:44Z,10.711000204086304,191,1,0,800000,Biotechnology,9000,2
45E4350FB3BD4822A222C9615DB454A6,0,12,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:53Z,8.482999801635742,191,2,0,2600000,Electronics,5000,12
45E4350FB3BD4822A222C9615DB454A6,0,12,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:53Z,8.482999801635742,191,0,1,2000000,Biotechnology,4000,9
45E4350FB3BD4822A222C9615DB454A6,0,12,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:53Z,8.482999801635742,191,1,0,1800000,Electronics,2000,9
45E4350FB3BD4822A222C9615DB454A6,1,13,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:59Z,6.753000020980835,191,2,0,2700000,Biotechnology,14000,2
45E4350FB3BD4822A222C9615DB454A6,1,13,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:59Z,6.753000020980835,191,0,0,1800000,Robotics,11000,9
45E4350FB3BD4822A222C9615DB454A6,1,13,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:59Z,6.753000020980835,191,1,1,2100000,Robotics,14000,5
45E4350FB3BD4822A222C9615DB454A6,2,14,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:07Z,7.457000017166138,191,2,1,2200000,Robotics,6000,3
45E4350FB3BD4822A222C9615DB454A6,2,14,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:07Z,7.457000017166138,191,0,0,700000,Robotics,3000,12
45E4350FB3BD4822A222C9615DB454A6,2,14,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:07Z,7.457000017166138,191,1,0,1200000,Biotechnology,5000,10
45E4350FB3BD4822A222C9615DB454A6,0,15,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:14Z,7.640000104904175,191,2,0,1900000,Biotechnology,6000,8
45E4350FB3BD4822A222C9615DB454A6,0,15,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:14Z,7.640000104904175,191,0,1,500000,Biotechnology,6000,5
45E4350FB3BD4822A222C9615DB454A6,0,15,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:14Z,7.640000104904175,191,1,0,1500000,Electronics,11000,8
45E4350FB3BD4822A222C9615DB454A6,0,16,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:24Z,9.578999996185303,191,2,0,1600000,Electronics,7000,4
45E4350FB3BD4822A222C9615DB454A6,0,16,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:24Z,9.578999996185303,191,0,1,1900000,Electronics,7000,4
45E4350FB3BD4822A222C9615DB454A6,0,16,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:24Z,9.578999996185303,191,1,0,800000,Electronics,11000,8
45E4350FB3BD4822A222C9615DB454A6,0,17,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:33Z,9.053999900817871,191,2,0,1600000,Robotics,14000,5
45E4350FB3BD4822A222C9615DB454A6,0,17,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:33Z,9.053999900817871,191,0,1,1300000,Robotics,4000,2
45E4350FB3BD4822A222C9615DB454A6,0,17,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:33Z,9.053999900817871,191,1,0,2900000,Electronics,8000,2
45E4350FB3BD4822A222C9615DB454A6,2,18,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:38Z,4.79800009727478,191,2,1,1800000,Robotics,6000,3
45E4350FB3BD4822A222C9615DB454A6,2,18,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:38Z,4.79800009727478,191,0,0,1300000,Biotechnology,3000,4
45E4350FB3BD4822A222C9615DB454A6,2,18,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:38Z,4.79800009727478,191,1,0,1400000,Biotechnology,14000,4
45E4350FB3BD4822A222C9615DB454A6,0,19,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:43Z,5.609999895095825,191,2,0,900000,Robotics,12000,8
45E4350FB3BD4822A222C9615DB454A6,0,19,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:43Z,5.609999895095825,191,0,1,800000,Robotics,8000,6
45E4350FB3BD4822A222C9615DB454A6,0,19,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:43Z,5.609999895095825,191,1,0,2000000,Robotics,12000,11
45E4350FB3BD4822A222C9615DB454A6,0,20,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:49Z,5.171000003814697,191,2,0,2700000,Electronics,8000,9
45E4350FB3BD4822A222C9615DB454A6,0,20,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:49Z,5.171000003814697,191,0,1,1300000,Robotics,2000,10
45E4350FB3BD4822A222C9615DB454A6,0,20,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:49Z,5.171000003814697,191,1,0,500000,Biotechnology,12000,11
284C8DE4E3DB4D37988C220586354889,2,1,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:51Z,0,130,2,1,1200000,Robotics,3000,5
284C8DE4E3DB4D37988C220586354889,2,1,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:51Z,0,130,0,0,1000000,Electronics,11000,7
284C8DE4E3DB4D37988C220586354889,2,1,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:51Z,0,130,1,0,2300000,Electronics,8000,10
284C8DE4E3DB4D37988C220586354889,1,2,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:58Z,6.5309998989105225,130,2,0,2000000,Electronics,13000,12
284C8DE4E3DB4D37988C220586354889,1,2,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:58Z,6.5309998989105225,130,0,0,1900000,Robotics,14000,12
284C8DE4E3DB4D37988C220586354889,1,2,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:03:58Z,6.5309998989105225,130,1,1,2600000,Electronics,2000,9
284C8DE4E3DB4D37988C220586354889,1,3,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:03Z,5.4120001792907715,130,2,0,500000,Biotechnology,11000,14
284C8DE4E3DB4D37988C220586354889,1,3,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:03Z,5.4120001792907715,130,0,0,800000,Robotics,9000,9
284C8DE4E3DB4D37988C220586354889,1,3,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:03Z,5.4120001792907715,130,1,1,500000,Electronics,5000,7
284C8DE4E3DB4D37988C220586354889,2,4,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:10Z,6.560999870300293,130,2,1,2100000,Biotechnology,3000,5
284C8DE4E3DB4D37988C220586354889,2,4,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:10Z,6.560999870300293,130,0,0,2500000,Robotics,14000,7
284C8DE4E3DB4D37988C220586354889,2,4,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:10Z,6.560999870300293,130,1,0,2100000,Electronics,7000,7
284C8DE4E3DB4D37988C220586354889,0,5,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:16Z,5.746000051498413,130,2,0,1000000,Robotics,6000,6
284C8DE4E3DB4D37988C220586354889,0,5,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:16Z,5.746000051498413,130,0,1,500000,Robotics,3000,14
284C8DE4E3DB4D37988C220586354889,0,5,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:16Z,5.746000051498413,130,1,0,1100000,Electronics,2000,9
284C8DE4E3DB4D37988C220586354889,0,6,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:22Z,5.8459999561309814,130,2,0,900000,Robotics,14000,6
284C8DE4E3DB4D37988C220586354889,0,6,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:22Z,5.8459999561309814,130,0,1,500000,Biotechnology,2000,7
284C8DE4E3DB4D37988C220586354889,0,6,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:22Z,5.8459999561309814,130,1,0,1800000,Electronics,8000,5
284C8DE4E3DB4D37988C220586354889,2,7,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:27Z,5.015000104904175,130,2,1,2900000,Electronics,9000,9
284C8DE4E3DB4D37988C220586354889,2,7,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:27Z,5.015000104904175,130,0,0,2900000,Biotechnology,12000,6
284C8DE4E3DB4D37988C220586354889,2,7,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:27Z,5.015000104904175,130,1,0,2400000,Robotics,8000,5
284C8DE4E3DB4D37988C220586354889,2,8,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:34Z,7.200999975204468,130,2,1,2100000,Robotics,4000,13
284C8DE4E3DB4D37988C220586354889,2,8,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:34Z,7.200999975204468,130,0,0,800000,Electronics,12000,8
284C8DE4E3DB4D37988C220586354889,2,8,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:34Z,7.200999975204468,130,1,0,2600000,Electronics,4000,7
284C8DE4E3DB4D37988C220586354889,1,9,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:40Z,5.988999843597412,130,2,0,800000,Biotechnology,5000,5
284C8DE4E3DB4D37988C220586354889,1,9,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:40Z,5.988999843597412,130,0,0,1600000,Electronics,3000,10
284C8DE4E3DB4D37988C220586354889,1,9,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:40Z,5.988999843597412,130,1,1,700000,Electronics,12000,7
284C8DE4E3DB4D37988C220586354889,2,10,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:45Z,5.698000192642212,130,2,1,3000000,Biotechnology,14000,8
284C8DE4E3DB4D37988C220586354889,2,10,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:45Z,5.698000192642212,130,0,0,700000,Robotics,3000,2
284C8DE4E3DB4D37988C220586354889,2,10,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:45Z,5.698000192642212,130,1,0,1000000,Electronics,7000,5
284C8DE4E3DB4D37988C220586354889,2,11,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:51Z,5.546000003814697,130,2,1,1800000,Biotechnology,11000,12
284C8DE4E3DB4D37988C220586354889,2,11,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:51Z,5.546000003814697,130,0,0,2000000,Robotics,6000,9
284C8DE4E3DB4D37988C220586354889,2,11,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:51Z,5.546000003814697,130,1,0,800000,Biotechnology,9000,2
284C8DE4E3DB4D37988C220586354889,2,12,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:57Z,5.894999980926514,130,2,1,2600000,Electronics,5000,12
284C8DE4E3DB4D37988C220586354889,2,12,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:57Z,5.894999980926514,130,0,0,2000000,Biotechnology,4000,9
284C8DE4E3DB4D37988C220586354889,2,12,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:04:57Z,5.894999980926514,130,1,0,1800000,Electronics,2000,9
284C8DE4E3DB4D37988C220586354889,2,13,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:06Z,8.746999979019165,130,2,1,2700000,Biotechnology,14000,2
284C8DE4E3DB4D37988C220586354889,2,13,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:06Z,8.746999979019165,130,0,0,1800000,Robotics,11000,9
284C8DE4E3DB4D37988C220586354889,2,13,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:06Z,8.746999979019165,130,1,0,2100000,Robotics,14000,5
284C8DE4E3DB4D37988C220586354889,2,14,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:12Z,5.927000045776367,130,2,1,2200000,Robotics,6000,3
284C8DE4E3DB4D37988C220586354889,2,14,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:12Z,5.927000045776367,130,0,0,700000,Robotics,3000,12
284C8DE4E3DB4D37988C220586354889,2,14,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:12Z,5.927000045776367,130,1,0,1200000,Biotechnology,5000,10
284C8DE4E3DB4D37988C220586354889,1,15,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:18Z,6.494999885559082,130,2,0,1900000,Biotechnology,6000,8
284C8DE4E3DB4D37988C220586354889,1,15,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:18Z,6.494999885559082,130,0,0,500000,Biotechnology,6000,5
284C8DE4E3DB4D37988C220586354889,1,15,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:18Z,6.494999885559082,130,1,1,1500000,Electronics,11000,8
284C8DE4E3DB4D37988C220586354889,1,16,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:25Z,7.265000104904175,130,2,0,1600000,Electronics,7000,4
284C8DE4E3DB4D37988C220586354889,1,16,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:25Z,7.265000104904175,130,0,0,1900000,Electronics,7000,4
284C8DE4E3DB4D37988C220586354889,1,16,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:25Z,7.265000104904175,130,1,1,800000,Electronics,11000,8
284C8DE4E3DB4D37988C220586354889,2,17,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:30Z,5.0289998054504395,130,2,1,1600000,Robotics,14000,5
284C8DE4E3DB4D37988C220586354889,2,17,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:30Z,5.0289998054504395,130,0,0,1300000,Robotics,4000,2
284C8DE4E3DB4D37988C220586354889,2,17,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:30Z,5.0289998054504395,130,1,0,2900000,Electronics,8000,2
284C8DE4E3DB4D37988C220586354889,1,18,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:37Z,6.66100001335144,130,2,0,1800000,Robotics,6000,3
284C8DE4E3DB4D37988C220586354889,1,18,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:37Z,6.66100001335144,130,0,0,1300000,Biotechnology,3000,4
284C8DE4E3DB4D37988C220586354889,1,18,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:37Z,6.66100001335144,130,1,1,1400000,Biotechnology,14000,4
284C8DE4E3DB4D37988C220586354889,2,19,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:44Z,7.295000076293945,130,2,1,900000,Robotics,12000,8
284C8DE4E3DB4D37988C220586354889,2,19,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:44Z,7.295000076293945,130,0,0,800000,Robotics,8000,6
284C8DE4E3DB4D37988C220586354889,2,19,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:44Z,7.295000076293945,130,1,0,2000000,Robotics,12000,11
284C8DE4E3DB4D37988C220586354889,1,20,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:49Z,4.730999946594238,130,2,0,2700000,Electronics,8000,9
284C8DE4E3DB4D37988C220586354889,1,20,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:49Z,4.730999946594238,130,0,0,1300000,Robotics,2000,10
284C8DE4E3DB4D37988C220586354889,1,20,0,Flat,2025-09-12 19:03:45,2025-09-12 19:05:55,2025-09-12T19:05:49Z,4.730999946594238,130,1,1,500000,Biotechnology,12000,11
EFEA43BDF59F4A31ABBB65B53B7A4813,2,1,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:02:56Z,0,127,2,1,1200000,Robotics,3000,5
EFEA43BDF59F4A31ABBB65B53B7A4813,2,1,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:02:56Z,0,127,0,0,1000000,Electronics,11000,7
EFEA43BDF59F4A31ABBB65B53B7A4813,2,1,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:02:56Z,0,127,1,0,2300000,Electronics,8000,10
EFEA43BDF59F4A31ABBB65B53B7A4813,2,2,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:04Z,8.80400013923645,127,2,1,2000000,Electronics,13000,12
EFEA43BDF59F4A31ABBB65B53B7A4813,2,2,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:04Z,8.80400013923645,127,0,0,1900000,Robotics,14000,12
EFEA43BDF59F4A31ABBB65B53B7A4813,2,2,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:04Z,8.80400013923645,127,1,0,2600000,Electronics,2000,9
EFEA43BDF59F4A31ABBB65B53B7A4813,1,3,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:11Z,6.138999938964844,127,2,0,500000,Biotechnology,11000,14
EFEA43BDF59F4A31ABBB65B53B7A4813,1,3,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:11Z,6.138999938964844,127,0,0,800000,Robotics,9000,9
EFEA43BDF59F4A31ABBB65B53B7A4813,1,3,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:11Z,6.138999938964844,127,1,1,500000,Electronics,5000,7
EFEA43BDF59F4A31ABBB65B53B7A4813,0,4,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:16Z,5.0320000648498535,127,2,0,2100000,Biotechnology,3000,5
EFEA43BDF59F4A31ABBB65B53B7A4813,0,4,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:16Z,5.0320000648498535,127,0,1,2500000,Robotics,14000,7
EFEA43BDF59F4A31ABBB65B53B7A4813,0,4,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:16Z,5.0320000648498535,127,1,0,2100000,Electronics,7000,7
EFEA43BDF59F4A31ABBB65B53B7A4813,2,5,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:20Z,4.855999946594238,127,2,1,1000000,Robotics,6000,6
EFEA43BDF59F4A31ABBB65B53B7A4813,2,5,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:20Z,4.855999946594238,127,0,0,500000,Robotics,3000,14
EFEA43BDF59F4A31ABBB65B53B7A4813,2,5,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:20Z,4.855999946594238,127,1,0,1100000,Electronics,2000,9
EFEA43BDF59F4A31ABBB65B53B7A4813,1,6,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:26Z,5.33899998664856,127,2,0,900000,Robotics,14000,6
EFEA43BDF59F4A31ABBB65B53B7A4813,1,6,1,Increasing,2025-09-12 19:02:47,2025-09-12 19:04:54,2025-09-12T19:03:26Z,5.33899998664856,127,0,0,500000,Biotechnology,2000,7
