Duration_Post,StartDate_Post,EndDate_Post,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Slope,turkid,condid
25,9/12/2025 21:07,9/12/2025 21:08,2,2,2,3,5,4,1,ED47543A709C4CEB897320957C3B3667,1
26,9/12/2025 21:07,9/12/2025 21:08,2,2,2,3,4,4,1,8956002BB45846F48239770F19468A5F,0
78,9/12/2025 21:07,9/12/2025 21:08,0,0,1,4,4,3,1,6892653B005643ECB26FB15CBD36B72C,0
21,9/12/2025 21:08,9/12/2025 21:08,-2,-2,-2,1,1,1,2,EF925AB0561A4D19B4822406D54571C3,1
54,9/12/2025 21:07,9/12/2025 21:08,1,1,1,5,5,4,2,1ABF4826DE344A6DAB7A1430D775442B,1
42,9/12/2025 21:08,9/12/2025 21:08,2,1,1,5,5,4,2,A53D15311E1A4E7BB8D9FDD5135514FC,1
29,9/12/2025 21:08,9/12/2025 21:08,0,0,0,4,4,4,1,6D8D34AAAA374D79943B004299815961,1
203,9/12/2025 21:05,9/12/2025 21:08,-2,-2,-2,1,1,1,2,8AD70996DA284ECB828016DC41BD81FE,0
68,9/12/2025 21:08,9/12/2025 21:09,1,0,1,3,4,4,1,543549767A27477ABF5A2C33075F55F7,1
83,9/12/2025 21:07,9/12/2025 21:09,1,1,1,4,3,4,1,D84C264FB712459DAC1CB4777FD25723,0
61,9/12/2025 21:08,9/12/2025 21:09,1,1,0,4,4,2,1,8A89FC51D4B64D09AB3E6F9D50A92459,1
27,9/12/2025 21:08,9/12/2025 21:09,1,1,1,3,2,2,1,416EBD8D331F46B39221A4C38A815F35,0
46,9/12/2025 21:08,9/12/2025 21:09,-2,-2,-2,1,1,1,1,C1EDF37CD4A44E8B9A5A63A04D9E5696,0
36,9/12/2025 21:08,9/12/2025 21:09,0,0,0,4,4,4,1,2659C2C0D58A463698E27DB4161DF14F,1
28,9/12/2025 21:08,9/12/2025 21:09,-2,-2,-2,1,1,1,1,793F4EA5961D45F29E68D1C22D34C67E,1
53,9/12/2025 21:08,9/12/2025 21:09,-1,-1,-1,5,4,4,2,F126803249334922BA0AC903107A47A4,0
52,9/12/2025 21:08,9/12/2025 21:09,1,2,2,3,4,4,1,39AB00E73DC04B209BAD7CA976C57FFD,1
28,9/12/2025 21:09,9/12/2025 21:09,-1,0,-1,3,4,4,2,2CF1611F97FB4EDB92812FC173C05D5E,0
65,9/12/2025 21:08,9/12/2025 21:09,1,1,1,5,5,2,1,713E41BD60F941D48527A3B54EE78227,1
35,9/12/2025 21:09,9/12/2025 21:09,2,1,2,4,3,2,2,9AC33212360F47B69A8F058CDBAB7B0D,0
71,9/12/2025 21:08,9/12/2025 21:09,1,1,1,3,4,2,2,AD4BA5DB93584466808304FC02155D29,0
35,9/12/2025 21:09,9/12/2025 21:10,1,2,2,2,2,3,2,BFA654B52F55498C85F0D373486A036A,0
125,9/12/2025 21:08,9/12/2025 21:10,0,-1,-1,1,3,2,1,F41EC5D604524897913DB525142E1E40,0
43,9/12/2025 21:09,9/12/2025 21:10,1,1,0,4,4,4,2,479D1793C2D54B169E98987B64AB8904,0
49,9/12/2025 21:09,9/12/2025 21:10,1,1,2,5,4,4,1,A2B52EA5E25D462798EF62EB951556C1,0
30,9/12/2025 21:10,9/12/2025 21:10,-1,-2,-1,5,4,3,1,CD8E954FE0694EA89A0B503BB91CA39D,1
88,9/12/2025 21:09,9/12/2025 21:10,1,1,1,5,4,2,1,8601DD16CAA9461A8C2526B2F52562F5,1
86,9/12/2025 21:09,9/12/2025 21:10,1,0,0,4,4,1,1,90A37560318749458F8EA39935DC367F,0
53,9/12/2025 21:10,9/12/2025 21:11,-2,-2,-2,1,1,1,1,4F666DDEF59140568082EC4FB22FF502,1
101,9/12/2025 21:09,9/12/2025 21:11,1,1,1,5,2,2,1,4C35087FD53F4068A3EC085623BDA755,1
93,9/12/2025 21:10,9/12/2025 21:11,-1,-1,-1,4,4,2,1,D5DE0F46EEF341A383C94F3271F02925,1
138,9/12/2025 21:09,9/12/2025 21:11,-2,-1,-2,2,4,3,1,29DD24957E414082B9F6357EF926C444,1
24,9/12/2025 21:11,9/12/2025 21:12,-1,-1,-1,2,3,2,1,38C7ACBC45CE4D069B395BB2E6D2C6CA,1
78,9/12/2025 21:10,9/12/2025 21:12,-1,0,0,4,4,1,1,CEFD2FE92E6847B2B27FF0175811CE81,0
95,9/12/2025 21:10,9/12/2025 21:12,1,1,0,4,4,4,1,E5BCB063CFA346C6B488191179460204,0
31,9/12/2025 21:11,9/12/2025 21:12,2,2,2,1,3,3,1,429723317E924F118E3C0C35AC6A5A89,1
60,9/12/2025 21:11,9/12/2025 21:12,0,0,0,2,4,2,1,038E4ADD06304F0DB3B752923ED9CBD8,1
46,9/12/2025 21:11,9/12/2025 21:12,2,1,2,4,5,2,1,5EF44FDA4E464CDEA4370DB69E23EBC7,1
10,9/12/2025 21:12,9/12/2025 21:12,-1,1,-1,4,2,2,1,09CBD050AA094F48B82D0A42F1A11347,0
46,9/12/2025 21:11,9/12/2025 21:12,1,2,1,2,5,5,1,71F47EAEE775441E9220F5F965A24448,1
39,9/12/2025 21:12,9/12/2025 21:13,-2,-2,-2,3,3,4,2,9A05A6078B044E0FB174F33F39AEE26A,0
29,9/12/2025 21:12,9/12/2025 21:13,1,1,2,2,3,4,2,3A027EB458E1432AB5977770B373F0CB,0
94,9/12/2025 21:12,9/12/2025 21:14,1,1,1,4,4,3,1,A07017F906F547079745D9149745691A,1
34,9/12/2025 21:13,9/12/2025 21:14,1,1,1,3,5,2,1,5F646159E72F459BB8A09CAD1D5D11F5,1
43,9/12/2025 21:14,9/12/2025 21:14,1,2,1,4,4,3,1,E847E027C5A2433AB1B38A306CB1FC40,0
89,9/12/2025 21:13,9/12/2025 21:14,1,2,1,1,4,4,1,488F3BE350DA4F5E9C014B905AA17324,1
30,9/12/2025 21:14,9/12/2025 21:15,2,1,2,5,4,4,1,7DD0416DB65047FDAA5BCCEDBDF9B817,1
97,9/12/2025 21:14,9/12/2025 21:15,2,2,2,5,5,5,1,DD44CA1228D0434495F8E152F1F7793D,0
26,9/12/2025 21:15,9/12/2025 21:15,2,1,1,3,4,3,1,DFD518B462664AA68B4B857D6325C5B9,0
38,9/12/2025 21:15,9/12/2025 21:15,1,2,1,5,4,3,2,57554753932C4E16BE0B5B0524BA32A6,0
72,9/12/2025 21:14,9/12/2025 21:15,2,2,2,5,5,3,1,C14467CA957B493A9CCB64B988EC22BC,1
178,9/12/2025 21:12,9/12/2025 21:15,2,1,1,4,5,4,1,B93FFCDEE7D3435BBEA10DD633EB8721,1
47,9/12/2025 21:15,9/12/2025 21:16,1,1,1,4,4,4,1,FFD019C05DA64CCFB5A9A5877A1BC094,1
38,9/12/2025 21:16,9/12/2025 21:16,1,1,0,5,4,3,2,45964B254A1D4BB3BE11F4E4DAA9B6B5,0
43,9/12/2025 21:16,9/12/2025 21:16,1,1,1,3,5,5,1,480624F7D2124687AD60694DFA6D7702,1
54,9/12/2025 21:16,9/12/2025 21:17,-2,-1,-1,3,4,1,1,CF9852F374E140F0A1608EED8A1F3A23,1
45,9/12/2025 21:17,9/12/2025 21:17,2,2,2,1,5,5,1,32AF061A389746EEA3E64F5421D6B093,0
103,9/12/2025 21:16,9/12/2025 21:18,1,1,1,3,4,4,2,319343789BBB48CF93CB2E2F28722C7B,0
34,9/12/2025 21:17,9/12/2025 21:18,1,1,0,4,2,4,1,0D8867A326B34E99B195FF3CF4FC3DED,1
427,9/12/2025 21:12,9/12/2025 21:19,1,1,1,4,4,1,2,D3B2FD66AF6D40D5A3887A9613DF114B,0
52,9/12/2025 21:20,9/12/2025 21:20,-1,-1,-1,4,4,3,2,E550F88BE6CE4D0894E8A7A0F2817EAD,0
142,9/12/2025 21:18,9/12/2025 21:20,1,1,1,3,4,2,1,361E2725C24249A7AE18EA1937A16F6F,0
184,9/12/2025 21:18,9/12/2025 21:21,2,2,2,5,3,2,1,7A2FD3C07D83434E8933F2F44369452E,1
63,9/12/2025 21:20,9/12/2025 21:21,1,1,1,4,4,2,1,F7D40967AFF441E08EE288EBFBFBB8E6,0
63,9/12/2025 21:20,9/12/2025 21:22,1,1,1,3,3,2,2,5EBF332C075D45F79B182475C7704A38,0
53,9/12/2025 21:23,9/12/2025 21:24,-1,-1,-1,5,5,4,1,45A6EA149D8642C793BE8E02D7755628,1
143,9/12/2025 21:22,9/12/2025 21:25,-1,1,1,4,5,2,1,583B48DB907C40209E1A17E7E6700800,1
74,9/12/2025 21:25,9/12/2025 21:26,-1,-1,-1,4,1,1,1,8629D06659DE40C28BECB6CC28781A86,0
172,9/12/2025 21:23,9/12/2025 21:26,1,1,1,3,3,3,1,F7C861B213C4411A8426FA96EC1272BB,1
119,9/12/2025 21:24,9/12/2025 21:26,0,1,0,4,2,2,2,1F11392E191E461C9499760D3ED2A5B7,1
27,9/12/2025 21:28,9/12/2025 21:28,-1,-1,-1,2,4,4,2,78A80DD289D442C09F8ED5FD1FE7D3A9,0
200,9/12/2025 21:26,9/12/2025 21:29,1,1,1,5,4,4,2,356A4159412E4BCBB5A7A05FBB2725A6,0
279,9/12/2025 21:28,9/12/2025 21:32,1,1,1,3,4,4,1,79D93986FCA9424C8C6DEFF85D636AB8,1
96,9/12/2025 21:32,9/12/2025 21:33,1,1,1,4,4,4,2,C37F0440805F4B17BC7F88584219F34C,0
26,9/12/2025 21:33,9/12/2025 21:34,-1,-1,-1,4,3,3,2,971EA2EA6F5148F4B49D71C60242DEFE,0
24,9/12/2025 21:33,9/12/2025 21:34,-1,-1,-1,4,3,3,2,C1517D46BA0548F09877CF49EA6C56A7,0
26,9/12/2025 21:33,9/12/2025 21:34,1,1,1,4,2,2,1,FE5215A81567489FBC60930236B1C65E,0
17,9/12/2025 21:34,9/12/2025 21:34,1,1,1,4,4,2,1,17303E18C2A14A0ABC2D2DCB050E05CF,1
28,9/12/2025 21:34,9/12/2025 21:34,-2,-2,-2,3,2,4,1,20F8DC91C6AB44B0A035C458E75BF025,0
35,9/12/2025 21:34,9/12/2025 21:34,2,1,1,5,4,3,1,125168FA5CB249C08BA2CC954313AC3E,1
32,9/12/2025 21:34,9/12/2025 21:34,-1,-1,-1,4,3,1,1,A012A26BAE7540D4A662604B975D2E72,0
16,9/12/2025 21:34,9/12/2025 21:35,0,0,0,3,3,3,2,671DE28C57A549ED8581919828488C5E,1
39,9/12/2025 21:34,9/12/2025 21:35,1,1,2,2,4,3,1,521DD6E81AE643A2A85FE1096F4AD432,1
36,9/12/2025 21:34,9/12/2025 21:35,-2,-2,-2,2,3,3,1,777D5FD3181E4DCC93A94BED9C7BD882,1
25,9/12/2025 21:34,9/12/2025 21:35,-1,-1,-1,3,3,3,2,6006B41E2D5A46B6958A7D3B26E8193B,0
38,9/12/2025 21:34,9/12/2025 21:35,-2,-2,-2,3,3,3,2,67A379BCCCA845FEADB981C8F6D9E179,0
51,9/12/2025 21:34,9/12/2025 21:35,1,1,1,3,3,2,1,CA38010E742E404DB30BC161531E10FF,1
32,9/12/2025 21:35,9/12/2025 21:35,1,1,0,3,4,4,1,3D2DB2CE66AF4513A1DF345A9F5C1C1F,1
34,9/12/2025 21:35,9/12/2025 21:35,2,2,2,3,3,3,1,9C7309B2B9AC421BB26E215BD294E3FF,1
20,9/12/2025 21:35,9/12/2025 21:35,-2,-2,-2,3,2,4,1,D428923385414855AC4E5E237B10EE21,1
39,9/12/2025 21:35,9/12/2025 21:35,-1,0,1,4,4,4,2,22A865110E5243A0B9AAA174D59769DC,0
30,9/12/2025 21:35,9/12/2025 21:35,-1,-1,-1,3,3,4,1,590A47C47ED940A98BA1F8060E97A091,1
43,9/12/2025 21:35,9/12/2025 21:35,1,1,1,4,4,3,1,125401DDCC574D189844112995090F0B,1
69,9/12/2025 21:34,9/12/2025 21:35,-2,1,-2,1,1,1,2,045101053B24453A93034E30C29178C2,0
45,9/12/2025 21:35,9/12/2025 21:36,-1,-1,-1,3,3,3,2,0F56DBF6A6F34D1FB4B734C1730C583C,0
43,9/12/2025 21:35,9/12/2025 21:36,0,0,-1,4,2,3,2,44FFB8F0481344DBACD4C9619DEF7E26,0
27,9/12/2025 21:35,9/12/2025 21:36,-2,-2,-2,4,3,3,1,51DA8E3B21E4400596089FC36D816552,1
42,9/12/2025 21:35,9/12/2025 21:36,-1,0,-1,4,5,3,1,B73C0721B4784A0D83F8B4B0BB2BB4AA,1
25,9/12/2025 21:35,9/12/2025 21:36,1,1,1,4,2,2,1,668703D4C675497BA09AE5588BDC518B,1
31,9/12/2025 21:35,9/12/2025 21:36,1,1,1,1,1,5,1,442A496F82B142BD80021310AE144EA7,1
39,9/12/2025 21:35,9/12/2025 21:36,1,1,1,4,4,4,2,99B95E911AF94BC68EC1D03619059EF4,0
29,9/12/2025 21:35,9/12/2025 21:36,1,-1,1,4,2,2,1,4FF55FA1E9634DCCBB2E561AD23BA661,0
53,9/12/2025 21:35,9/12/2025 21:36,-1,-2,-2,3,2,3,1,6F772AA7C4374587843E33A4E738E4B9,0
50,9/12/2025 21:35,9/12/2025 21:36,1,0,1,4,4,2,2,EB6C5024F5A349399708FE9274F50847,0
21,9/12/2025 21:36,9/12/2025 21:36,1,1,1,2,4,4,2,14A935C873804DC38902F3900DF28F8E,0
45,9/12/2025 21:35,9/12/2025 21:36,-1,0,0,4,4,2,1,4B451E03EEB948D8A523EA8982A28687,1
44,9/12/2025 21:35,9/12/2025 21:36,1,1,1,2,4,2,2,361C5A62F9CB44ACA780437E8678A705,1
57,9/12/2025 21:35,9/12/2025 21:36,-2,-2,-2,4,4,3,2,CDC36CA2D2D049C5A90D5B828AE85BA7,0
86,9/12/2025 21:35,9/12/2025 21:36,1,-1,-1,5,2,3,2,558C6C2E93914C0EBA625E42F900F002,0
53,9/12/2025 21:35,9/12/2025 21:36,1,1,1,5,3,1,1,669DEBEBE0C14C60B6915B6FC3E7C61F,1
27,9/12/2025 21:36,9/12/2025 21:36,-1,-1,-1,3,3,3,1,40D9093DEF654A2BAB0F478B4D929E28,1
21,9/12/2025 21:36,9/12/2025 21:36,1,-1,-1,4,4,3,1,F10BBD77DD6A4D9BBE059E526838676F,0
34,9/12/2025 21:36,9/12/2025 21:36,-2,-2,-2,2,2,1,2,DA67FB1DECC44BA5984D9FEDE9D21C4C,0
33,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-1,2,3,4,1,C623B07385854164AC662E5DF9D5C1EE,0
53,9/12/2025 21:36,9/12/2025 21:37,-2,-2,-2,1,1,1,2,6624AD9B1C9045258B912C9EA8A8FACC,0
36,9/12/2025 21:36,9/12/2025 21:37,1,1,0,4,4,4,2,A6D62DD2DDD44CD69530A536A1813451,0
26,9/12/2025 21:36,9/12/2025 21:37,0,0,0,2,2,2,1,77870BB55C9245CEA85BCFEC0481DD32,1
26,9/12/2025 21:36,9/12/2025 21:37,1,1,1,5,5,3,1,1C5CBBB511BA4A83A0323685B6060134,1
35,9/12/2025 21:36,9/12/2025 21:37,1,-1,-1,5,3,2,1,074A1C2E60F245C0A0873ADBD8F6DF8B,1
35,9/12/2025 21:36,9/12/2025 21:37,-1,0,-1,1,2,2,1,951E8639D9ED45199FD367164FA2D30F,1
45,9/12/2025 21:36,9/12/2025 21:37,1,1,1,4,5,3,1,BA2BCA7CCB1C4030859B5BC1E915D44D,0
63,9/12/2025 21:36,9/12/2025 21:37,1,2,1,5,5,2,2,776E66D986DC46FF84FBD7BEA9BB421F,1
34,9/12/2025 21:36,9/12/2025 21:37,1,1,1,4,4,4,2,A481FFCD2695447896261A1C5C7DB288,0
103,9/12/2025 21:35,9/12/2025 21:37,-2,-2,-2,1,2,2,1,4A4B96E4A0B5496FAF82FD103651405F,1
47,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-1,4,2,2,1,6B1B6B2C5CD74E39A6DE0FF62580231C,0
26,9/12/2025 21:36,9/12/2025 21:37,1,1,-1,2,2,2,2,2ACB97CD18834B69A198619CA30BC130,0
49,9/12/2025 21:36,9/12/2025 21:37,1,1,1,3,4,4,2,51D131577874460C9A2A0A378E420CEB,0
59,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-1,4,4,2,2,B5AFA623579F4041B8B01EAB45514DD3,0
56,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-2,1,3,2,2,34810F0E23044B79BEACDE559FF65508,0
67,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-1,1,3,3,1,0492FC538C4245778A446716617CEBFE,1
33,9/12/2025 21:37,9/12/2025 21:37,-2,-2,-2,1,1,1,1,4680491AF58148D7915636150F84281B,0
49,9/12/2025 21:36,9/12/2025 21:37,1,1,1,2,2,4,1,036A56B4228A42F4A2FF1379884E3CBD,1
52,9/12/2025 21:36,9/12/2025 21:37,1,1,1,5,2,2,2,0EEE9D2D27304253B6FE6C160035347F,0
80,9/12/2025 21:36,9/12/2025 21:37,1,1,1,4,4,3,1,14859321998D497897702AF68E4B0855,0
43,9/12/2025 21:37,9/12/2025 21:37,1,1,1,5,4,4,1,ED0B61FE388C4952B905B2775F1F01E6,1
23,9/12/2025 21:37,9/12/2025 21:37,1,1,1,3,4,5,1,53A2F403595A46D3A6CA084FDAC70471,1
34,9/12/2025 21:37,9/12/2025 21:37,-2,-1,-2,2,2,3,2,0E27542814F241DFA2043BD34FE61C24,0
75,9/12/2025 21:36,9/12/2025 21:37,-2,-2,-1,1,4,2,2,F6AD0A0496FC4025B887CE4A5E4FDFDB,0
59,9/12/2025 21:36,9/12/2025 21:37,-1,-1,-1,1,2,1,1,352F50BB940746CDBA37845760C42016,1
20,9/12/2025 21:37,9/12/2025 21:37,1,0,0,3,2,1,2,A5CC52B218E5404CB2D501A1AE63F95A,0
48,9/12/2025 21:37,9/12/2025 21:37,1,1,1,4,4,3,2,BEFBEA22C7504C30A816607EDD823E2E,1
43,9/12/2025 21:37,9/12/2025 21:37,1,0,1,5,3,2,2,AF44E60610A24DF59282C2C674BFEF91,0
22,9/12/2025 21:37,9/12/2025 21:38,-1,-1,-1,4,4,3,1,DD2B58C23A26454AB3066C12A0711798,0
52,9/12/2025 21:37,9/12/2025 21:38,0,-1,0,3,4,3,2,36218F9460F04768BD8084E958B83750,0
24,9/12/2025 21:37,9/12/2025 21:38,1,1,1,5,5,5,1,E4B3665E9BD046558582828DD14E6B1E,1
35,9/12/2025 21:37,9/12/2025 21:38,1,2,1,5,4,4,1,060CEBC49D44455DBA8D73C904E549EF,1
41,9/12/2025 21:37,9/12/2025 21:38,2,2,2,4,4,3,1,3B2918D43F064EE3802519993EF8A39F,1
27,9/12/2025 21:37,9/12/2025 21:38,0,0,0,3,3,3,2,E7D705D3283C4226AC9374888F595F6D,0
52,9/12/2025 21:37,9/12/2025 21:38,1,1,1,5,5,1,1,9D77BFB713434C959919E681D5AA3E24,1
35,9/12/2025 21:37,9/12/2025 21:38,1,1,1,2,4,4,2,A501E73257344DE18AC567D2EFE9D38F,0
22,9/12/2025 21:37,9/12/2025 21:38,1,0,0,2,3,3,1,F30605DB2CFF4AA59C99830428B038BE,1
32,9/12/2025 21:37,9/12/2025 21:38,1,1,1,3,3,3,1,232ABA8B0764487185E586B963DBD175,1
26,9/12/2025 21:37,9/12/2025 21:38,1,2,1,2,4,4,1,7837F092ABDB4696B653011B7481CCF5,0
19,9/12/2025 21:38,9/12/2025 21:38,-2,-2,-2,3,3,3,2,F6342F9406A142E19B2EB84816298270,0
37,9/12/2025 21:37,9/12/2025 21:38,-1,-1,-1,3,3,3,1,BB217BA2F37E4035A2E869FF99532A54,0
35,9/12/2025 21:37,9/12/2025 21:38,1,1,1,5,4,4,1,5FDB677232AF44B4A671D229B597090B,1
38,9/12/2025 21:37,9/12/2025 21:38,1,1,0,4,4,3,1,77EDCE8BEB15439F8FA887FA4A4E0CB2,1
41,9/12/2025 21:37,9/12/2025 21:38,-1,-1,-2,4,3,3,1,B5900B0808DD42ED83FC37F090CEEECA,1
71,9/12/2025 21:37,9/12/2025 21:38,1,1,1,3,2,3,2,1EEAC5126F4245F29D95801E3E5A9272,0
44,9/12/2025 21:37,9/12/2025 21:38,1,1,1,5,5,3,1,5F5FA3DD14AB4C82AE98BF5801FE4681,1
27,9/12/2025 21:38,9/12/2025 21:38,-1,0,0,2,3,4,1,0DBA1CD91994459DB5F90E3264DA9AB5,0
54,9/12/2025 21:37,9/12/2025 21:38,2,1,1,2,4,3,2,ECAEFE5A63CA472C8E6CABBEFAC0539D,0
30,9/12/2025 21:38,9/12/2025 21:38,-1,-1,-1,4,3,4,1,FB2448DC030E4D64B1A64CAFA211A7A6,1
31,9/12/2025 21:38,9/12/2025 21:38,1,1,1,5,3,4,1,54F6CA3CBEDE42E2A4B39F4185667BCF,0
29,9/12/2025 21:38,9/12/2025 21:38,-1,-1,-1,4,3,2,1,467535A5E255478A97460136960AE30C,0
26,9/12/2025 21:38,9/12/2025 21:38,-1,-2,-2,3,4,2,1,1938D7A0E8B74512AC6DD8AEB952A725,0
48,9/12/2025 21:38,9/12/2025 21:38,1,1,0,5,4,3,1,D131981B7D924E8899300B16951030D8,1
45,9/12/2025 21:38,9/12/2025 21:39,-1,1,1,1,4,5,1,22F92A4DFA31446D905E086963AA36D4,1
73,9/12/2025 21:37,9/12/2025 21:39,1,1,1,4,5,5,1,8D7E51398FE7403A9C23F883FEE629A4,1
36,9/12/2025 21:38,9/12/2025 21:39,0,1,1,3,3,3,2,8CC5D24EB74949559193E95B4A6A971E,0
41,9/12/2025 21:38,9/12/2025 21:39,1,1,1,4,3,5,2,E0C738F22DFD4123B5CBA845211CC366,0
92,9/12/2025 21:37,9/12/2025 21:39,1,1,1,3,3,3,1,4951A9652A97404C92E474A6F8FD2306,0
56,9/12/2025 21:38,9/12/2025 21:39,1,1,2,4,3,4,1,07F6CDA8ED48423E874BAE793DE79FB0,1
51,9/12/2025 21:38,9/12/2025 21:39,-1,-1,-1,2,3,3,1,4F518726980B49F2BB980181D52C1DDE,1
41,9/12/2025 21:38,9/12/2025 21:39,2,2,1,3,5,5,1,8344B8C5451E4B6A8D0EB1E07DAB6163,1
66,9/12/2025 21:38,9/12/2025 21:39,1,0,0,4,3,1,2,9D709204B836463C9C6FA66CDFEC1764,0
25,9/12/2025 21:39,9/12/2025 21:39,1,2,1,3,4,4,1,7AA37D89BF4649BEA781FA68BA6AE1D5,1
56,9/12/2025 21:38,9/12/2025 21:39,-1,-1,-1,3,4,4,1,B11AA4664534491FAF395D65DDFC0E84,0
31,9/12/2025 21:39,9/12/2025 21:39,-2,-2,-2,1,1,1,1,12076A45802B405BB00ABBFBB67729E0,1
45,9/12/2025 21:38,9/12/2025 21:39,0,0,-1,3,3,5,1,6DA6EDC1BEC94DAF8A827B6A535E48C3,1
32,9/12/2025 21:39,9/12/2025 21:39,1,1,1,4,4,2,1,44C7953EB1C74442A2B07740448629A3,1
53,9/12/2025 21:38,9/12/2025 21:39,-2,-2,-2,2,2,1,2,9FCA700FD35B4AC9A19A818C4CC7D057,0
66,9/12/2025 21:38,9/12/2025 21:39,-2,-2,-2,4,3,2,2,0B7EA3BD810140FCA3ACD39A85FC2352,1
25,9/12/2025 21:39,9/12/2025 21:39,-1,0,-1,4,2,4,1,6D87F2B153954ACC8A746A48872AE6B1,0
42,9/12/2025 21:39,9/12/2025 21:39,-1,1,0,3,3,3,1,D24D213E1AD04E419A21D896AF463BBA,1
39,9/12/2025 21:39,9/12/2025 21:39,1,1,0,4,3,3,1,218D74FFB32A4C838A88C6019A69DE91,1
