turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion,project,project_chosen,valuation,activity,customers,competitors
A3PNUKFE80TO9Z,14,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:12Z,5.5309998989105225,261,0,0,700000,Biotechnology,3000,12
A3PNUKFE80TO9Z,14,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:12Z,5.5309998989105225,261,1,0,1200000,Biotechnology,5000,10
A3PNUKFE80TO9Z,15,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:21Z,8.421000003814697,261,2,1,1900000,Biotechnology,6000,8
A3PNUKFE80TO9Z,15,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:21Z,8.421000003814697,261,0,0,500000,Biotechnology,6000,5
A3PNUKFE80TO9Z,15,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:21Z,8.421000003814697,261,1,0,1500000,Electronics,11000,8
A3PNUKFE80TO9Z,16,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:34Z,13.60700011253357,261,2,0,1600000,Electronics,7000,4
A3PNUKFE80TO9Z,16,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:34Z,13.60700011253357,261,0,1,1900000,Electronics,7000,4
A3PNUKFE80TO9Z,16,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:34Z,13.60700011253357,261,1,0,800000,Artificial Intelligence,11000,8
A3PNUKFE80TO9Z,17,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:45Z,10.117999792098999,261,2,0,1600000,Artificial Intelligence,14000,5
A3PNUKFE80TO9Z,17,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:45Z,10.117999792098999,261,0,0,1300000,Robotics,4000,2
A3PNUKFE80TO9Z,17,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:45Z,10.117999792098999,261,1,1,2900000,Artificial Intelligence,8000,2
A3PNUKFE80TO9Z,18,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:54Z,9.338000059127808,261,2,1,1800000,Robotics,6000,3
A3PNUKFE80TO9Z,18,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:54Z,9.338000059127808,261,0,0,1300000,Biotechnology,3000,4
A3PNUKFE80TO9Z,18,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:54Z,9.338000059127808,261,1,0,1400000,Biotechnology,14000,4
A3PNUKFE80TO9Z,19,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:58Z,4.044000148773193,261,2,0,900000,Robotics,12000,8
A3PNUKFE80TO9Z,19,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:58Z,4.044000148773193,261,0,0,800000,Robotics,8000,6
A3PNUKFE80TO9Z,19,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:58Z,4.044000148773193,261,1,1,2000000,Robotics,12000,11
A3PNUKFE80TO9Z,20,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:45:02Z,3.7769999504089355,261,2,1,2700000,Artificial Intelligence,8000,9
A3PNUKFE80TO9Z,20,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:45:02Z,3.7769999504089355,261,0,0,1300000,Artificial Intelligence,2000,10
A3PNUKFE80TO9Z,20,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:45:02Z,3.7769999504089355,261,1,0,500000,Biotechnology,12000,11
A1A4FV99I596WA,1,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:11Z,0,138,2,0,1200000,Robotics,3000,5
A1A4FV99I596WA,1,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:11Z,0,138,0,0,1000000,Electronics,11000,7
A1A4FV99I596WA,1,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:11Z,0,138,1,1,2300000,Electronics,8000,10
A1A4FV99I596WA,2,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:24Z,12.947999954223633,138,2,0,2000000,Artificial Intelligence,13000,12
A1A4FV99I596WA,2,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:24Z,12.947999954223633,138,0,1,1900000,Artificial Intelligence,14000,12
A1A4FV99I596WA,2,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:24Z,12.947999954223633,138,1,0,2600000,Electronics,2000,9
A1A4FV99I596WA,3,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:32Z,7.503999948501587,138,2,0,500000,Biotechnology,11000,14
A1A4FV99I596WA,3,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:32Z,7.503999948501587,138,0,0,800000,Artificial Intelligence,9000,9
A1A4FV99I596WA,3,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:32Z,7.503999948501587,138,1,1,500000,Artificial Intelligence,5000,7
A1A4FV99I596WA,4,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:38Z,6.614000082015991,138,2,0,2100000,Artificial Intelligence,3000,5
A1A4FV99I596WA,4,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:38Z,6.614000082015991,138,0,0,2500000,Artificial Intelligence,14000,7
A1A4FV99I596WA,4,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:38Z,6.614000082015991,138,1,1,2100000,Artificial Intelligence,7000,7
A1A4FV99I596WA,5,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:44Z,6.097999811172485,138,2,1,1000000,Artificial Intelligence,6000,6
A1A4FV99I596WA,5,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:44Z,6.097999811172485,138,0,0,500000,Robotics,3000,14
A1A4FV99I596WA,5,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:44Z,6.097999811172485,138,1,0,1100000,Artificial Intelligence,2000,9
A1A4FV99I596WA,6,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:49Z,5.186000108718872,138,2,0,900000,Robotics,14000,6
A1A4FV99I596WA,6,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:49Z,5.186000108718872,138,0,0,500000,Biotechnology,2000,7
A1A4FV99I596WA,6,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:49Z,5.186000108718872,138,1,1,1800000,Electronics,8000,5
A1A4FV99I596WA,7,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:58Z,8.132999897003174,138,2,0,2900000,Artificial Intelligence,9000,9
A1A4FV99I596WA,7,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:58Z,8.132999897003174,138,0,1,2900000,Biotechnology,12000,6
A1A4FV99I596WA,7,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:58Z,8.132999897003174,138,1,0,2400000,Robotics,8000,5
A1A4FV99I596WA,8,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:04Z,6.03000020980835,138,2,0,2100000,Artificial Intelligence,4000,13
A1A4FV99I596WA,8,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:04Z,6.03000020980835,138,0,0,800000,Electronics,12000,8
A1A4FV99I596WA,8,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:04Z,6.03000020980835,138,1,1,2600000,Electronics,4000,7
A1A4FV99I596WA,9,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:08Z,4.71399998664856,138,2,0,800000,Electronics,5000,5
A1A4FV99I596WA,9,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:08Z,4.71399998664856,138,0,1,1600000,Electronics,3000,10
A1A4FV99I596WA,9,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:08Z,4.71399998664856,138,1,0,700000,Electronics,12000,7
A1A4FV99I596WA,10,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:13Z,4.388000011444092,138,2,1,3000000,Artificial Intelligence,14000,8
A1A4FV99I596WA,10,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:13Z,4.388000011444092,138,0,0,700000,Robotics,3000,2
A1A4FV99I596WA,10,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:13Z,4.388000011444092,138,1,0,1000000,Electronics,7000,5
A1A4FV99I596WA,11,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:20Z,7.412999868392944,138,2,0,1800000,Biotechnology,11000,12
A1A4FV99I596WA,11,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:20Z,7.412999868392944,138,0,1,2000000,Artificial Intelligence,6000,9
A1A4FV99I596WA,11,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:20Z,7.412999868392944,138,1,0,800000,Biotechnology,9000,2
A1A4FV99I596WA,12,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:24Z,3.375,138,2,1,2600000,Electronics,5000,12
A1A4FV99I596WA,12,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:24Z,3.375,138,0,0,2000000,Biotechnology,4000,9
A1A4FV99I596WA,12,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:24Z,3.375,138,1,0,1800000,Artificial Intelligence,2000,9
A1A4FV99I596WA,13,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:27Z,3.5329999923706055,138,2,1,2700000,Biotechnology,14000,2
A1A4FV99I596WA,13,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:27Z,3.5329999923706055,138,0,0,1800000,Robotics,11000,9
A1A4FV99I596WA,13,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:27Z,3.5329999923706055,138,1,0,2100000,Artificial Intelligence,14000,5
A1A4FV99I596WA,14,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:31Z,3.4760000705718994,138,2,1,2200000,Robotics,6000,3
A1A4FV99I596WA,14,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:31Z,3.4760000705718994,138,0,0,700000,Biotechnology,3000,12
A1A4FV99I596WA,14,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:31Z,3.4760000705718994,138,1,0,1200000,Biotechnology,5000,10
A1A4FV99I596WA,15,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:37Z,6.546999931335449,138,2,1,1900000,Biotechnology,6000,8
A1A4FV99I596WA,15,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:37Z,6.546999931335449,138,0,0,500000,Biotechnology,6000,5
A1A4FV99I596WA,15,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:37Z,6.546999931335449,138,1,0,1500000,Electronics,11000,8
A1A4FV99I596WA,16,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:43Z,6.210000038146973,138,2,0,1600000,Electronics,7000,4
A1A4FV99I596WA,16,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:43Z,6.210000038146973,138,0,1,1900000,Electronics,7000,4
A1A4FV99I596WA,16,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:43Z,6.210000038146973,138,1,0,800000,Artificial Intelligence,11000,8
A1A4FV99I596WA,17,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:47Z,3.9709999561309814,138,2,0,1600000,Artificial Intelligence,14000,5
A1A4FV99I596WA,17,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:47Z,3.9709999561309814,138,0,0,1300000,Robotics,4000,2
A1A4FV99I596WA,17,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:47Z,3.9709999561309814,138,1,1,2900000,Artificial Intelligence,8000,2
A1A4FV99I596WA,18,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:51Z,4.196000099182129,138,2,1,1800000,Robotics,6000,3
A1A4FV99I596WA,18,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:51Z,4.196000099182129,138,0,0,1300000,Biotechnology,3000,4
A1A4FV99I596WA,18,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:51Z,4.196000099182129,138,1,0,1400000,Biotechnology,14000,4
A1A4FV99I596WA,19,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:55Z,3.2179999351501465,138,2,0,900000,Robotics,12000,8
A1A4FV99I596WA,19,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:55Z,3.2179999351501465,138,0,0,800000,Robotics,8000,6
A1A4FV99I596WA,19,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:55Z,3.2179999351501465,138,1,1,2000000,Robotics,12000,11
A1A4FV99I596WA,20,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:58Z,3.7799999713897705,138,2,1,2700000,Artificial Intelligence,8000,9
A1A4FV99I596WA,20,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:58Z,3.7799999713897705,138,0,0,1300000,Artificial Intelligence,2000,10
A1A4FV99I596WA,20,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:58Z,3.7799999713897705,138,1,0,500000,Biotechnology,12000,11
A2J18K5IUQ2K4G,1,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:40Z,0,200,2,1,1200000,Robotics,3000,5
A2J18K5IUQ2K4G,1,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:40Z,0,200,0,0,1000000,Electronics,11000,7
A2J18K5IUQ2K4G,1,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:40Z,0,200,1,0,2300000,Electronics,8000,10
A2J18K5IUQ2K4G,2,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:49Z,9.139999866485596,200,2,0,2000000,Artificial Intelligence,13000,12
A2J18K5IUQ2K4G,2,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:49Z,9.139999866485596,200,0,0,1900000,Artificial Intelligence,14000,12
A2J18K5IUQ2K4G,2,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:49Z,9.139999866485596,200,1,1,2600000,Electronics,2000,9
A2J18K5IUQ2K4G,3,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:58Z,8.647000074386597,200,2,0,500000,Biotechnology,11000,14
A2J18K5IUQ2K4G,3,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:58Z,8.647000074386597,200,0,0,800000,Artificial Intelligence,9000,9
A2J18K5IUQ2K4G,3,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:58Z,8.647000074386597,200,1,1,500000,Artificial Intelligence,5000,7
A2J18K5IUQ2K4G,4,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:10Z,12.589999914169312,200,2,0,2100000,Artificial Intelligence,3000,5
A2J18K5IUQ2K4G,4,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:10Z,12.589999914169312,200,0,1,2500000,Artificial Intelligence,14000,7
A2J18K5IUQ2K4G,4,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:10Z,12.589999914169312,200,1,0,2100000,Artificial Intelligence,7000,7
A2J18K5IUQ2K4G,5,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:18Z,7.884999990463257,200,2,0,1000000,Artificial Intelligence,6000,6
A2J18K5IUQ2K4G,5,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:18Z,7.884999990463257,200,0,1,500000,Robotics,3000,14
A2J18K5IUQ2K4G,5,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:18Z,7.884999990463257,200,1,0,1100000,Artificial Intelligence,2000,9
A2J18K5IUQ2K4G,6,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:26Z,7.818000078201294,200,2,1,900000,Robotics,14000,6
A2J18K5IUQ2K4G,6,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:26Z,7.818000078201294,200,0,0,500000,Biotechnology,2000,7
A2J18K5IUQ2K4G,6,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:26Z,7.818000078201294,200,1,0,1800000,Electronics,8000,5
A2J18K5IUQ2K4G,7,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:33Z,6.758000135421753,200,2,0,2900000,Artificial Intelligence,9000,9
