EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned,DiffPredict
6,0,8,5,3,4,3,7,3,7,7,7,7,A16TP8YGKE1FJ5,2,26,-1
5,1,1,2,2,4,3,6,2,6,6,6,4,A1CSJFRAS32VFJ,0,12,-2
6,2,10,2,3,4,5,6,2,5,6,6,7,A1CC1ESUM2JWJ2,2,30,1
4,2,1,2,2,3,5,5,5,5,5,6,6,A3ANJRMHMVC97K,2,12,-1
5,0,10,5,4,4,2,7,1,7,7,7,7,A3PNUKFE80TO9Z,2,30,-2
5,1,8,3,2,4,4,5,2,6,6,6,7,A1W9G8QEYMQ19K,2,26,-1
3,2,2,2,1,4,5,2,3,5,2,5,4,A1MXE9QGRV61MW,2,14,2
2,0,5,3,5,2,2,5,6,4,5,7,5,A2VXEPC4KG1CWU,0,20,-2
3,2,10,4,5,4,4,5,5,4,5,6,3,AH4YPX4FVWMSY,0,30,1
2,2,5,4,2,4,3,5,2,5,5,6,3,A168B0VAQ1RXKB,0,20,1
5,1,10,3,2,5,5,5,2,6,6,6,5,A1UY2W2FL9CWN,0,30,-2
3,2,10,3,2,3,1,5,6,4,5,6,6,ANVXAMUEBGV8N,0,30,-1
2,0,10,4,2,2,2,3,2,5,6,5,5,A1Z0YMGUC86KC5,0,30,1
6,0,10,4,2,2,2,7,2,7,7,7,7,A2C7A6E70NYNUI,2,30,-1
4,1,4,3,5,4,2,5,6,5,5,5,5,A2MCG5W6LHSRG9,0,18,1
2,0,10,2,3,1,1,3,5,3,3,5,2,ALF9AAZGQP4K5,0,30,-1
5,2,10,3,2,4,4,5,2,5,5,5,5,A3B1SQFC7YFOV,0,30,1
7,2,5,4,5,2,3,3,5,6,6,5,6,A100DH6ZVHB9EP,2,20,0
3,2,10,3,3,3,3,2,4,2,4,4,2,AC47RDUMYXM4P,0,30,2
2,1,0,3,4,2,3,3,5,4,3,5,5,AHI4FABU79VTP,0,10,-1
2,1,10,4,3,2,3,5,4,5,5,6,4,A17TKHT8FEVH0R,0,30,2
6,2,10,4,4,4,4,7,1,7,7,6,7,AF49Z1Q86AEXC,2,30,-1
1,1,10,3,4,2,2,1,6,2,6,6,3,A11TREGDHSUSJW,0,30,1
6,1,5,3,2,5,5,6,2,6,6,6,6,AM0QVBV8L6QCJ,2,20,-1
6,2,10,1,1,2,5,7,1,7,7,7,7,A7D6YDQDS5QRQ,2,30,-1
2,2,10,3,5,1,5,3,7,5,2,7,3,A3RHJEMZ4EGY2U,0,30,0
4,2,3,3,3,4,4,4,4,4,5,5,4,A1UCB0D27PY623,0,16,0
1,0,10,3,3,4,5,6,6,6,6,6,3,A2MOD3TN7HL7II,0,30,-2
2,2,5,2,1,2,2,1,6,5,4,5,2,AZY06QHJVQNWP,0,20,-1
2,1,10,3,3,4,5,6,3,6,6,7,6,A2W8ZODKKQ7RYP,0,30,2
2,0,0,3,3,3,3,2,7,2,5,4,4,A2C73Y1COWCA51,0,10,-1
6,1,3,4,2,3,3,6,2,6,6,6,5,AFK9ALQK5GPNG,0,16,1
6,1,10,3,2,4,4,6,7,7,7,7,6,A2RVFMCKSSEHDV,2,30,0
4,2,6,3,2,4,5,6,2,5,6,6,6,A1C2T79XTDHE39,0,22,1
5,1,2,4,3,5,5,7,5,6,6,4,7,A87D3K9YVKTQ7,0,14,1
3,2,10,2,3,1,5,5,6,4,3,5,6,A2RQMEPIHW5BOS,0,30,1
2,1,1,2,1,4,4,1,4,2,4,4,6,A3R457FAWQXZN3,2,12,-1
2,2,5,4,4,2,2,5,7,5,5,7,5,A1FYWSPNO7KN1O,0,20,-2
2,1,10,3,1,4,4,5,5,4,3,5,6,A1RA8QOAPXYVCC,0,30,-1
1,1,0,2,4,3,2,2,7,2,3,4,2,ANFWGSQ8BQRZ,0,10,-1
2,1,5,2,3,3,2,4,5,4,4,5,4,AN098C29EGJ6,0,20,0
4,0,1,2,3,2,2,2,4,3,3,5,4,AGDJB8B8CDZ71,0,12,-1
6,0,10,3,1,4,3,6,2,6,6,7,7,A2A4UAFZ5LW71K,2,30,-1
6,0,10,4,3,3,3,7,2,6,6,6,6,A2QK87TCYPFR80,2,30,-1
6,2,10,3,3,3,3,6,2,6,6,6,6,A23Q978GYHTPD3,2,30,0
5,2,10,2,2,4,2,6,5,5,5,5,6,A2Z6NL0CTXY0ZB,0,30,-1
6,2,2,4,3,4,4,4,6,4,5,5,4,A1KHRQ121JTDF6,2,14,-1
2,2,10,1,3,3,2,3,5,4,4,5,4,A22LQL0UHAOMC9,0,30,-1
5,0,5,4,2,4,3,5,3,5,5,6,5,A3ITZNJQUTIZ4C,0,20,-1
5,1,10,3,5,4,3,5,3,5,5,6,6,AKOOC3BXIS15H,0,30,-1
5,1,10,5,5,4,5,7,2,7,7,6,7,A6MWJK1YEY5L2,2,30,-1
4,0,3,2,2,3,4,6,2,5,5,6,4,A2DHKTD1GSBXR2,0,16,-2
6,2,10,4,5,3,4,7,2,6,6,5,7,AJ9W5GNM3SB2Q,2,30,1
6,1,10,2,2,5,5,6,2,6,6,6,6,A1K5ILJMG439M5,2,30,-2
5,2,10,3,4,5,5,6,3,6,5,6,5,A2P791EA88YGSV,0,30,-2
6,1,10,1,1,4,5,5,2,5,6,7,4,AWIYSXEA51PFZ,2,30,-2
6,0,10,5,3,2,3,6,1,6,6,7,7,A2CHDWKAYZ3P3E,2,30,-1
5,1,10,3,3,4,3,6,2,6,6,6,7,AA9SBG7LNCG8Q,2,30,-1
6,0,5,4,5,4,2,2,4,7,3,7,2,AIWSB4YTN32GF,2,20,3
3,1,5,3,3,4,5,5,3,5,5,5,7,A1MIB492BU9KIQ,0,20,-2
5,0,1,4,3,3,4,5,3,5,5,3,5,AOQZ2B7YSZVQ3,2,12,1
6,0,7,4,3,4,5,6,4,6,6,5,6,A3JW215NW77ZTU,2,24,1
4,1,5,1,2,4,4,4,5,5,4,5,5,A1G6F1HWIS2K2K,0,20,-1
4,1,10,3,3,3,3,3,4,4,4,5,5,A1VR49TB3Q4BV8,2,30,0
5,0,3,3,3,3,3,6,5,5,5,5,4,A2MN4SACCVT29O,0,16,0
1,2,10,4,2,2,4,2,5,2,3,5,5,A1D9ZWU1M46SAF,2,30,-3
4,1,10,2,2,4,4,5,3,6,5,6,7,A270HX8LH9LJ8W,2,30,-1
6,1,10,1,1,5,5,6,2,6,6,5,6,ADD4FGB00XQ5H,2,30,-1
4,2,10,3,2,4,4,6,2,5,5,5,6,A3S5M6R3ZR6ECN,2,30,-1
5,1,0,5,3,5,5,4,5,5,4,4,4,A16GOBHWJDPD9T,2,10,0
3,2,10,2,4,4,5,6,1,6,6,6,7,A1GTYHV8OYQQLV,2,30,-1
5,2,10,3,3,3,5,5,6,6,5,5,5,A31681CCEVDIH3,0,30,-1
4,2,0,3,2,5,4,5,3,6,5,6,7,AN3F3H70WHNAM,2,10,-1
6,1,10,3,1,5,3,6,2,6,7,6,7,A17OINLIDZ0C14,2,30,1
1,2,0,2,2,2,3,3,5,3,4,5,4,A1KWIJXTC47YWE,0,10,-1
2,1,2,4,3,4,3,4,6,4,3,5,5,A3D3NEQ158WUB0,2,14,-1
3,1,2,3,2,3,3,3,6,5,5,5,4,A3M88KA3AW07B3,0,14,1
4,2,10,1,3,5,5,5,3,5,4,5,4,AOTIV8H84F69E,2,30,0
6,2,10,2,2,2,5,6,3,6,6,6,6,A2SO6K35NMGBB7,0,30,-1
4,2,10,2,2,3,4,5,6,4,5,6,7,A1YX4D517MM5M3,2,30,-2
4,2,10,3,3,3,5,4,4,5,5,5,5,ANJJQV9EY4QQ4,2,30,-2
6,0,6,4,5,3,4,4,6,4,6,5,6,A2G97RZRNF3LU6,2,22,2
7,2,10,5,5,5,4,7,3,7,7,7,7,A14KUBNRAVZU43,2,30,2
2,0,10,5,2,3,3,2,4,2,2,2,5,AM2KK02JXXW48,0,30,-3
3,1,2,2,2,5,5,4,2,5,5,5,6,A222R4PNCF08OF,2,14,-1
3,1,10,2,2,4,4,5,3,3,5,6,5,AS4E902OXUO5Z,0,30,1
7,1,10,5,5,4,2,7,1,7,7,7,7,A2ZQCHONMAJZF,2,30,0
7,1,10,5,5,4,2,7,1,7,7,7,7,A2ZQCHONMAJZF,2,30,0
3,0,10,2,3,4,3,6,5,5,5,6,3,A20MOTHAE8JNVU,0,30,-1
6,1,10,3,2,3,3,7,1,7,7,6,7,A2871R3LEPWMMK,2,30,-2
3,1,5,3,2,5,2,5,3,4,4,6,4,A38RNGF4CCP1XI,0,20,-2
4,1,3,3,1,5,5,6,2,6,6,6,7,A3NI1W4JCNFBJ7,2,16,-2
7,2,10,1,1,5,5,6,1,7,6,7,7,A2WZ71TT9AJPV,2,30,-1
4,2,5,2,3,3,4,5,5,4,5,5,6,A1DXH9HLH4NXSX,2,20,-1
3,1,5,2,3,3,3,5,5,3,5,5,4,A1CY7IOJ9YH136,0,20,-1
5,1,4,3,3,3,3,7,1,6,7,7,7,AWTGJ45ZWUCHH,2,18,-2
2,0,10,4,2,3,3,3,5,5,3,5,5,A14EYTLSMJRPUK,0,30,1
6,1,10,3,3,3,3,7,1,7,7,7,3,A2LVCS009DMEAT,2,30,-1
5,2,10,4,5,3,2,6,3,6,6,7,6,A2CJYS92WX7HN6,0,30,-1
5,2,4,2,4,5,2,3,2,5,5,6,3,A2MSVKXC1F3WIU,2,18,-1
4,1,0,3,1,4,4,5,3,5,5,6,6,A30RAYNDOWQ61S,2,10,-2
3,0,5,5,2,3,4,5,3,5,4,6,4,A320QA9HJFUOZO,0,20,1
6,1,8,4,5,5,4,7,6,6,6,7,6,A37CNLYELZKAJ0,0,26,2
7,0,3,5,5,5,5,7,1,7,7,7,7,A36RO2EK1P2G3W,2,16,1
5,1,0,3,3,4,4,5,2,5,5,5,5,AFCMHQWCV6N02,2,10,-2
4,2,10,3,5,5,5,6,2,6,5,7,3,A25R2OI9L2Q1OW,0,30,2
4,1,10,3,3,3,3,6,1,6,6,6,4,AZ69TBTDH7AZS,2,30,0
4,0,10,4,1,1,1,2,6,2,2,4,5,AURYD2FH3FUOQ,2,30,-2
5,2,10,4,3,4,4,6,1,5,6,6,7,A3I4PK485Z5QP9,2,30,-2
7,1,3,4,4,5,5,7,1,7,6,7,7,A2FOUSWQDYHIE0,2,16,0
4,2,10,2,1,3,4,5,3,5,5,6,6,A10E5MI9D5XEUQ,2,30,-1
2,2,1,2,2,3,3,5,6,4,4,5,5,A3V9JFVZQ2XF4Y,0,12,-2
5,1,2,3,2,4,4,4,2,4,5,5,3,A1TUQV9C5GN7AM,0,14,0
6,1,5,2,2,5,5,5,3,6,5,6,5,A3NM3GAVMJEI3J,0,20,-1
4,0,10,4,3,4,3,5,3,5,6,6,3,A15FXHC1CVNW31,0,30,2
5,1,10,3,2,5,5,6,1,7,6,7,6,AEF74ZYJTTEIA,2,30,-2
3,2,10,4,2,2,4,5,6,5,3,6,3,A10AVWALIHR4UQ,0,30,-2
6,2,10,4,3,3,4,4,4,7,6,6,2,A1VR1XQEQQXYUE,2,30,0
6,2,9,1,1,1,1,7,1,7,4,4,7,AMV1E7FFPVAW4,2,28,-1
6,1,6,4,3,4,4,5,5,6,5,6,7,A27V516DIK3SFW,0,22,2
5,2,10,2,4,3,3,5,4,5,5,6,5,A6WYBPPG8Y2Q4,0,30,-1
2,1,10,4,2,4,1,5,6,5,4,6,2,A6WXIKRYMXNIN,0,30,-2
4,1,10,4,4,4,4,5,4,5,5,5,5,A3C2X1L5PVNNLV,2,30,-1
2,0,5,2,3,3,4,5,4,5,5,7,6,ANCCKNF1DKRZO,0,20,-1
7,2,6,5,3,3,4,5,2,5,5,5,4,A1X84T4EFW04GZ,2,22,3
5,1,0,1,2,2,3,3,5,3,4,6,2,AEPITKAWZ6FCT,0,10,0
5,1,10,2,1,4,4,5,4,4,4,4,4,A2OW2CIT4H7364,0,30,-2
6,0,10,4,5,5,4,7,5,6,6,5,6,A18G2CLYSTENK,2,30,1
4,0,8,4,3,5,4,5,4,5,6,6,6,A11Q8U6QTT8KGF,0,26,2
3,1,6,1,2,3,3,5,7,3,3,5,6,A3GVUYY3TWRPZT,0,22,-1
5,2,10,2,2,4,5,6,2,6,6,7,7,A2TGRGIEIE5FAL,2,30,-1
4,1,10,3,2,4,4,6,3,6,6,6,6,A3UDUHUVFKD833,2,30,1
6,0,2,2,1,2,3,7,1,6,6,6,7,AUR5KDE75HSZ9,2,14,0
5,2,10,4,2,4,5,6,2,6,6,6,6,A3FYWUZK52IC2J,2,30,-1
3,1,4,3,3,4,4,4,3,4,4,4,4,A27PINUYH0XHRB,0,18,-1
6,2,6,2,4,3,4,6,3,6,6,6,6,AXQKGVWRFYMM,2,22,1
4,2,10,2,4,4,2,6,4,5,5,7,7,AUFUUD4WG9CVO,2,30,1
6,0,7,4,5,5,4,5,6,6,6,7,6,ALHS0TDN03O9K,0,24,2
7,0,7,5,4,5,4,7,6,6,6,7,7,A3N90E4Y3JUPOJ,0,24,2
2,2,10,2,2,4,4,3,5,2,4,5,3,A1601UNFFAAQOI,0,30,-2
6,1,10,3,2,5,5,7,1,7,7,7,7,A1FNNL4YJGBU8U,2,30,1
5,1,10,4,2,5,3,6,2,6,6,7,7,A1MFQBQRNANOD6,2,30,-1
5,2,10,3,3,4,4,5,3,5,5,5,5,A9R6JERXUUK6V,2,30,-1
5,0,10,3,3,3,3,4,5,4,4,3,3,A3F7L0TIE1QEWW,2,30,-1
5,2,10,5,4,3,4,3,5,4,4,6,5,A3OWH1915QYNLE,-2,30,0
3,1,5,4,2,4,5,3,4,3,3,5,2,A2M7RO9U5CJX9G,-2,20,1
1,1,10,3,5,2,2,7,1,7,7,7,7,A1SX9DT3XHX845,0,30,0
5,1,7,3,3,4,4,5,4,5,6,5,5,A22KYUSPCMWIKR,-2,24,-1
3,0,7,4,3,5,2,3,7,4,3,5,3,A13T5R3LI8ANLN,-2,24,-1
3,2,10,3,4,4,3,5,3,6,6,6,5,A3TP06ZKSDOPAO,0,30,-2
2,1,5,3,3,4,3,2,6,2,2,4,2,AVTLWWC78O2VW,-2,20,-1
4,1,5,2,3,5,3,4,4,3,3,4,4,A2JI88OO9BS59Y,-2,20,0
3,1,5,2,1,1,2,3,5,3,3,5,3,A1EN3FW93BSXQQ,-2,20,-1
4,2,10,2,1,4,3,5,2,6,6,5,4,AREQ43Q0T8ENT,-2,30,1
6,0,8,4,2,4,2,5,6,7,6,5,6,AXKVHJHF1EOVT,-2,26,-1
3,2,2,3,4,4,3,2,6,2,3,4,1,A16KPD0UW2OPBA,-2,14,2
5,2,10,4,4,4,4,5,1,6,6,6,6,A2F4MWYA2LEFNL,-2,30,3
2,1,5,4,3,4,3,4,3,4,5,5,3,A1F1TBDHPYAAXT,-2,20,0
2,1,4,3,4,3,4,1,5,2,5,5,1,A39TKU289CXWRN,-2,18,-1
2,1,5,2,1,3,3,2,6,1,2,3,1,A20IKZ082TZP6P,-2,20,-1
1,1,10,2,2,2,3,1,7,1,1,1,1,A15IINKXSMD98T,-2,30,-1
1,2,10,2,3,4,5,2,7,2,3,5,1,A1561P9VVA3C1C,-2,30,-2
1,1,5,2,1,1,2,1,6,1,2,4,1,A2YQ46ZDZFE3Q2,-2,20,1
3,2,3,2,2,4,4,5,3,5,5,5,4,A1QUQ0TV9KVD4C,-2,16,2
4,2,7,3,3,5,3,6,3,3,6,6,5,AYD2LKV6C5F2S,0,24,-1
2,1,5,3,2,4,3,3,6,4,4,5,4,A1OIBI3PWS4R5K,-2,20,-1
1,1,1,3,2,3,4,3,5,3,4,5,2,A1HKB73TUJ5Z42,-2,12,-2
3,0,1,1,2,1,4,2,6,3,3,5,4,A3FF1VSY7QIDWB,0,12,-1
7,1,4,5,4,3,4,7,6,5,7,6,5,A3BD0DFREQX0D4,-2,18,3
1,1,0,1,1,1,1,1,6,1,1,1,1,A2B4NOB02ERQCL,-2,10,-2
6,1,9,3,4,3,4,4,5,6,5,4,3,A196CIBUA1CNOF,-2,28,2
2,2,10,5,2,4,5,5,3,5,5,5,4,A8RAYYZKGDBQD,0,30,2
6,2,5,5,3,4,5,7,7,5,6,7,5,A31QV64WJM0M4G,-2,20,2
2,1,0,2,1,3,2,4,5,3,4,5,3,A1QSN98P7DOIPR,-2,10,1
2,0,10,1,1,1,1,1,4,1,1,1,1,A2IFRY1FU6PYDU,-2,30,-1
2,1,5,2,3,4,4,3,4,3,4,5,3,A1SMT4I1ESNON1,-2,20,2
2,1,3,3,4,3,5,1,6,4,4,6,1,A3SH7B3UK915FC,-2,16,2
4,1,1,2,3,3,3,4,5,4,4,6,2,A38HV76MWKK0EY,-2,12,-1
6,1,8,4,3,5,4,6,5,6,5,6,7,A3I5B4U5PCHX18,-2,26,1
2,1,10,1,2,5,4,4,6,4,4,6,5,ARCCEMO6PIE44,0,30,1
3,2,6,3,3,3,3,6,5,4,4,5,4,A6AB1O0UYB7PI,-2,22,-1
6,1,10,4,2,4,2,6,2,6,6,4,5,A311A0TCGNTFKK,0,30,-1
2,2,10,3,4,3,2,3,6,3,3,5,1,A27CEAL8PWSAG5,-2,30,-1
4,2,10,4,2,5,5,5,4,5,5,7,4,A12ZO39VZ879ZS,-2,30,1
1,1,0,3,2,3,3,2,7,2,4,4,5,A2852RLME6S2IX,0,10,1
5,1,10,2,2,1,3,5,3,5,5,5,5,AWKUOA7M4P8YI,-2,30,0
5,1,7,4,5,4,4,6,5,6,6,7,6,A2PZI2K946IGG1,0,24,1
3,0,10,2,3,4,4,5,6,5,5,6,2,AOSO1D81K0ET0,-2,30,1
5,0,0,3,2,4,4,4,3,4,5,6,4,A2BGRGVU9HG0C6,0,10,-1
2,0,8,2,2,4,3,2,4,2,3,4,5,A23UO8033OFMJ5,-2,26,1
4,0,0,4,3,4,2,3,5,3,3,3,2,A21P1T8EW4NHOU,-2,10,-1
3,1,2,3,2,4,3,2,3,5,3,6,2,ABNJUVNHFVINU,-2,14,1
7,0,0,5,5,2,5,7,1,7,7,7,1,AGNEWBU7179GY,-2,10,0
2,2,10,2,2,4,4,6,3,5,5,6,3,A2R89RXGEVG05I,0,30,-1
6,1,9,4,3,4,5,6,5,7,7,6,6,A1G623UHUNM2QV,-2,28,1
4,1,5,1,1,1,1,4,3,3,3,4,3,A217MHGDI5UYE1,-2,20,0
3,1,3,3,2,4,3,4,2,6,6,3,2,A2QSVBUPZQ9USZ,0,16,0
2,1,5,3,2,4,4,2,6,3,4,5,2,ACHZV6EH3HWTZ,-2,20,-1
3,1,2,3,2,4,4,5,4,4,5,5,6,AHRVVI0K5WSD4,-2,14,0
4,0,10,3,3,4,4,5,3,5,6,6,2,ALK8GA6GSXQMQ,-2,30,1
3,2,10,4,4,4,4,5,4,5,5,4,5,A2DWDTU1KVNISP,0,30,-1
2,2,5,3,4,2,3,1,5,5,3,5,2,A2287HLNN9EZ56,-2,20,-1
4,0,5,4,2,1,2,5,5,6,5,5,3,A1Q8V9050IW4XG,0,20,-2
5,0,4,5,4,3,3,5,6,7,6,7,7,A8YPUBQ0NP4VM,-2,18,1
5,1,10,4,2,5,5,7,1,6,6,6,2,A15ZDMEVJL3NFQ,-2,30,-1
3,1,0,3,3,4,4,5,4,5,5,5,5,A2CJY4787IR70K,0,10,2
6,1,7,2,3,4,4,6,2,6,6,7,6,A1BIENE9M8DX6H,0,24,1
5,1,9,3,4,5,5,5,6,4,5,6,5,A2SW0Q0WFUEQ7W,-2,28,3
1,2,0,1,2,1,1,1,7,1,1,2,1,A2HHGI5CNSS5PD,-2,10,0
1,0,0,1,1,1,1,1,2,1,1,1,1,A16ANYLVNPKCVG,-2,10,-1
1,1,5,3,1,3,3,1,6,1,1,4,2,A1HM2VBI4T638R,0,20,-2
4,1,10,5,4,1,3,6,6,6,6,6,2,A3CH1Z6J9R38G9,-2,30,-1
2,2,1,1,1,1,1,2,3,2,2,3,3,A1A80US3LE1YGS,-2,12,2
1,2,0,2,2,2,2,1,6,2,2,2,1,A1VL7507UONPX0,-2,10,-2
6,1,9,3,4,2,4,4,5,6,5,4,3,A1JWNGQFNYSCQC,-2,28,2
2,2,10,3,2,3,3,2,6,2,2,2,1,A1KGCOR8OXYR72,-2,30,-1
5,1,5,3,3,4,3,4,5,3,4,5,4,A230GPTWWF3SE7,-2,20,1
3,1,5,2,1,4,5,5,2,3,5,6,7,A2CLGYPCKVH59J,0,20,-2
6,0,10,4,2,2,2,6,3,6,6,6,5,A3HXCMU4MOPSQI,0,30,-3
4,2,3,2,2,2,2,2,5,3,3,3,7,A1TSD3O3C3ZUT6,-2,16,-1
1,0,0,2,2,2,2,1,5,1,4,4,4,A37Q4O126A4RNA,-2,10,-2
1,2,0,2,2,3,3,2,6,2,2,3,2,A3843S9LWPDN2K,-2,10,-1
3,1,3,2,2,4,4,5,5,6,6,6,5,A1ETEW9WH37WDS,-2,16,1
3,2,5,2,3,1,3,3,5,4,4,5,3,A3RIPY2C8JEGO5,-2,20,0
6,0,1,4,3,4,4,5,4,5,5,4,5,A39S6GR0MTIEAX,-2,12,-1
1,0,10,2,2,1,1,2,2,2,3,3,1,A297OTX4PW0XS3,-2,30,1
1,0,7,3,1,4,1,2,4,2,2,5,2,A3TQUS51JKYUUE,-2,24,0
2,1,2,4,3,3,4,5,5,5,5,6,5,A1TA2I82B8DJSA,-2,14,-1
3,0,7,1,3,2,3,5,3,5,4,5,5,A3QVNP6OONC9CM,0,24,-2
5,1,2,4,4,4,4,6,3,5,6,6,6,AB8W80RSDX64W,-2,14,-1
4,2,7,2,3,2,3,4,4,4,4,5,3,A3HJH6PDKSOJ53,-2,24,0
4,0,10,3,3,4,4,5,4,5,4,6,1,A27VIS8YL07EID,-2,30,0
2,2,5,2,3,3,5,5,7,5,3,5,5,AHPOOKYE7V04D,0,20,2
2,1,0,2,2,2,2,1,5,2,1,1,1,AU5UJIZ3TLI5M,-2,10,1
4,1,10,2,3,3,4,6,2,6,6,6,3,A1BH6H9WRK49I,-2,30,2
6,2,10,2,1,4,5,6,1,6,6,7,4,A398CG5XGBNGGE,0,30,0
3,1,5,3,2,4,3,5,3,5,6,5,3,A3NMQ3019X6YE0,-2,20,-2
1,1,10,5,4,5,2,6,5,5,6,6,6,AMG4P2X1EGE6T,-2,30,-1
3,1,10,2,2,3,3,2,3,5,5,5,2,A2BVVFXMQU8AC7,0,30,-1
4,1,5,4,3,3,4,5,4,5,5,4,3,AKYNTKGN25WAH,-2,20,0
6,1,10,3,2,4,5,3,2,5,5,6,4,A2EQI1DDWL8JMV,0,30,-1
5,2,5,3,5,4,3,6,5,7,5,7,6,A17FDM5CXENC1O,-2,20,-1
7,1,10,5,5,5,5,7,7,7,7,7,4,AQ5XH5R26U7XK,-2,30,2
5,1,10,2,3,4,4,6,2,4,6,6,4,A1P3J34DH57JNB,0,30,-2
2,1,5,2,2,3,3,3,5,3,4,5,2,A11EF6L798V32H,-2,20,1
4,1,0,3,3,3,4,5,3,5,5,5,5,A2E8EKAN93ZJRY,-2,10,1
3,0,2,4,4,3,3,5,3,3,5,5,2,A1DDY2N2OYOL2V,-2,14,2
2,1,4,3,2,2,3,2,3,3,4,5,1,A1E3MR98PNWZBD,-2,18,-1
3,2,0,3,3,3,1,1,5,2,4,5,1,A2QDQO4D99M22T,-2,10,1
3,1,5,2,3,4,5,3,5,3,4,3,2,AMELYCC59JKB0,-2,20,-1
