turkid,condition,replicate,startdate,enddate,day,chosen_color,chosen_shape,chosen_size,chosen_texture,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,1,0,0,0,0,2024-05-08T19:11:54Z,0,2,1,0
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,2,0,1,1,0,2024-05-08T19:12:03Z,8.615999937057495,2,1,2
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,3,2,1,2,1,2024-05-08T19:12:10Z,7.109000205993652,2,2,3
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,4,1,2,2,0,2024-05-08T19:12:19Z,8.878999948501587,0,3,3
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,5,1,2,0,1,2024-05-08T19:12:27Z,8.490000009536743,2,1,2
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,6,0,1,0,1,2024-05-08T19:12:37Z,10.128999948501587,4,0,2
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,7,0,1,1,1,2024-05-08T19:12:47Z,9.519999980926514,3,0,1
617406b6573d1eadf604330e,Increasing,4,2024-05-08 19:11:46,2024-05-08 19:12:59,8,2,1,1,1,2024-05-08T19:12:55Z,7.795000076293945,2,1,1
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,1,0,0,0,0,2024-05-08T19:18:46Z,0,2,1,0
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,2,1,1,1,1,2024-05-08T19:18:55Z,8.490999937057495,2,1,4
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,3,2,1,2,0,2024-05-08T19:19:03Z,8.259999990463257,2,1,3
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,4,2,2,2,0,2024-05-08T19:19:11Z,7.674000024795532,1,2,1
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,5,0,1,2,0,2024-05-08T19:19:19Z,7.663000106811523,3,0,2
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,6,1,1,2,0,2024-05-08T19:19:25Z,6.143999814987183,2,0,1
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,7,1,1,1,0,2024-05-08T19:19:30Z,5.63100004196167,3,0,1
5edec1fe543b8816c672b069,Increasing,0,2024-05-08 19:18:44,2024-05-08 19:19:55,8,0,1,1,0,2024-05-08T19:19:38Z,7.2840001583099365,4,0,1
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,1,0,0,0,0,2024-05-08T19:19:02Z,0,2,1,0
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,2,0,0,2,0,2024-05-08T19:19:09Z,7.555000066757202,3,0,1
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,3,0,0,2,1,2024-05-08T19:19:16Z,7.021999835968018,2,1,1
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,4,1,0,2,0,2024-05-08T19:19:24Z,7.587000131607056,2,0,2
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,5,2,0,2,0,2024-05-08T19:19:30Z,5.609999895095825,2,1,1
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,6,0,1,2,0,2024-05-08T19:19:36Z,6.3450000286102295,3,1,2
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,7,0,2,2,0,2024-05-08T19:19:42Z,5.559000015258789,4,0,1
5f64b12995d31b00080f3874,Flat,4,2024-05-08 19:18:57,2024-05-08 19:19:59,8,0,0,2,0,2024-05-08T19:19:50Z,8.039999961853027,3,0,1
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,1,1,0,0,0,2024-05-08T19:14:07Z,0,2,1,0
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,2,0,2,1,0,2024-05-08T19:14:17Z,9.841000080108643,3,1,3
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,3,1,2,0,1,2024-05-08T19:14:29Z,11.710000038146973,2,2,3
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,4,1,0,0,1,2024-05-08T19:14:36Z,7.990999937057495,1,2,1
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,5,0,1,2,1,2024-05-08T19:14:44Z,7.926000118255615,0,3,3
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,6,2,2,0,0,2024-05-08T19:14:53Z,8.359999895095825,2,1,4
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,7,1,2,0,0,2024-05-08T19:14:59Z,5.999000072479248,3,1,1
60426dd10e363812ef54edc3,Flat,1,2024-05-08 19:13:54,2024-05-08 19:15:13,8,1,0,0,0,2024-05-08T19:15:06Z,6.8429999351501465,2,1,1
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,1,2,0,2,0,2024-05-08T19:13:54Z,0,0,4,0
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,2,2,2,1,0,2024-05-08T19:14:12Z,17.3510000705719,0,2,2
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,3,0,1,1,0,2024-05-08T19:14:21Z,9.348999977111816,1,1,2
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,4,0,0,1,0,2024-05-08T19:14:34Z,13.293999910354614,0,2,1
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,5,1,1,0,1,2024-05-08T19:14:43Z,8.696000099182129,4,0,4
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,6,2,1,0,1,2024-05-08T19:14:56Z,12.806999921798706,3,1,1
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,7,2,1,0,0,2024-05-08T19:15:08Z,12.413000106811523,2,2,1
662f7d07893426bbdaf94778,Increasing,3,2024-05-08 19:13:41,2024-05-08 19:15:26,8,2,1,0,0,2024-05-08T19:15:18Z,9.375999927520752,2,2,0
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,1,0,0,0,0,2024-05-08T19:14:54Z,0,2,0,0
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,2,1,0,0,0,2024-05-08T19:15:16Z,22.526000022888184,3,0,1
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,3,1,0,1,0,2024-05-08T19:15:33Z,16.901000022888184,4,0,1
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,4,2,2,2,1,2024-05-08T19:15:48Z,14.431999921798706,0,4,4
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,5,1,0,1,0,2024-05-08T19:16:01Z,13.266999959945679,4,0,4
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,6,1,1,1,0,2024-05-08T19:16:09Z,8.434000015258789,3,0,1
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,7,1,0,1,1,2024-05-08T19:16:17Z,7.716000080108643,3,1,2
613dfb8f6035de19f201561c,Flat,0,2024-05-08 19:14:38,2024-05-08 19:16:39,8,2,0,1,0,2024-05-08T19:16:31Z,14.309000015258789,3,1,2
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,1,1,1,1,0,2024-05-08T19:15:27Z,0,4,0,0
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,2,0,0,0,1,2024-05-08T19:15:48Z,21.374000072479248,0,4,4
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,3,2,2,2,0,2024-05-08T19:16:03Z,15.07800006866455,1,0,4
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,4,2,1,1,1,2024-05-08T19:16:21Z,17.60800004005432,2,1,3
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,5,0,0,0,1,2024-05-08T19:16:34Z,13.311999797821045,0,4,3
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,6,1,1,2,1,2024-05-08T19:16:46Z,11.337000131607056,2,1,3
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,7,0,0,1,0,2024-05-08T19:17:01Z,15.881999969482422,2,2,4
5ba23e4140fe1a0001ebc61a,Increasing,1,2024-05-08 19:14:46,2024-05-08 19:17:27,8,1,2,0,1,2024-05-08T19:17:18Z,16.77300000190735,1,2,4
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,1,1,0,1,0,2024-05-08T19:21:21Z,0,2,1,0
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,2,1,1,1,0,2024-05-08T19:21:34Z,13.48199987411499,1,2,1
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,3,1,2,1,0,2024-05-08T19:21:41Z,7.273000001907349,1,1,1
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,4,0,2,2,0,2024-05-08T19:21:51Z,10.062000036239624,1,2,2
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,5,2,2,1,0,2024-05-08T19:22:00Z,8.521000146865845,0,1,2
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,6,1,2,1,1,2024-05-08T19:22:09Z,9.215999841690063,2,0,2
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,7,1,2,2,1,2024-05-08T19:22:15Z,5.937000036239624,3,0,1
5d4019460cf8a3001a8d51a1,Increasing,1,2024-05-08 19:21:04,2024-05-08 19:22:37,8,1,0,2,1,2024-05-08T19:22:26Z,10.855999946594238,4,0,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,1,0,0,0,0,2024-05-08T19:18:28Z,0,1,2,0
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,2,1,0,0,0,2024-05-08T19:18:43Z,14.795000076293945,1,3,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,3,2,0,0,0,2024-05-08T19:18:54Z,10.867000102996826,2,2,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,4,2,0,1,0,2024-05-08T19:19:05Z,10.828999996185303,1,2,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,5,2,0,2,0,2024-05-08T19:19:15Z,10.039000034332275,1,3,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,6,2,1,0,0,2024-05-08T19:19:30Z,14.996999979019165,2,1,2
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,7,2,2,0,0,2024-05-08T19:19:44Z,14.263000011444092,3,1,1
5aa91bb86475f90001a07cc5,Increasing,2,2024-05-08 19:18:17,2024-05-08 19:20:13,8,2,2,0,1,2024-05-08T19:19:54Z,9.68999981880188,4,0,1
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,1,0,0,0,0,2024-05-08T19:17:12Z,0,1,1,0
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,2,1,0,0,0,2024-05-08T19:17:23Z,11.079999923706055,2,1,1
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,3,1,0,1,0,2024-05-08T19:17:29Z,6.085999965667725,3,1,1
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,4,1,0,1,1,2024-05-08T19:17:34Z,4.63100004196167,2,2,1
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,5,1,0,2,0,2024-05-08T19:17:39Z,5.421000003814697,2,2,2
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,6,2,0,1,0,2024-05-08T19:17:45Z,5.430000066757202,2,2,2
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,7,1,1,1,0,2024-05-08T19:17:53Z,8.44599986076355,3,0,2
59cc9fef21454d000194c43c,Flat,1,2024-05-08 19:16:51,2024-05-08 19:18:14,8,1,2,1,0,2024-05-08T19:17:58Z,5.1600000858306885,4,0,1
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,1,0,0,0,0,2024-05-08T19:17:43Z,0,1,3,0
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,2,1,0,2,0,2024-05-08T19:17:54Z,10.720999956130981,3,1,2
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,3,2,0,2,0,2024-05-08T19:17:58Z,4.318000078201294,2,1,1
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,4,2,1,2,1,2024-05-08T19:18:05Z,6.638999938964844,1,1,2
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,5,2,2,2,1,2024-05-08T19:18:09Z,3.7280001640319824,2,1,1
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,6,2,2,2,0,2024-05-08T19:18:12Z,3.6019999980926514,3,0,1
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,7,1,2,2,0,2024-05-08T19:18:16Z,3.9589998722076416,4,0,1
610ba4d2fcf0cdcfb8a4e4fb,Increasing,3,2024-05-08 19:17:35,2024-05-08 19:18:26,8,1,2,1,0,2024-05-08T19:18:22Z,5.421999931335449,3,0,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,1,0,1,1,1,2024-05-08T19:21:00Z,0,1,4,0
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,2,0,2,1,0,2024-05-08T19:21:23Z,22.515000104904175,2,2,2
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,3,0,0,1,0,2024-05-08T19:21:41Z,17.95899987220764,3,2,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,4,2,0,1,0,2024-05-08T19:21:56Z,15.835000038146973,3,1,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,5,2,0,0,0,2024-05-08T19:22:10Z,13.190000057220459,2,0,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,6,0,0,0,0,2024-05-08T19:22:18Z,8.391000032424927,2,1,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,7,0,0,2,0,2024-05-08T19:22:33Z,14.861999988555908,2,1,1
65e4cecfea299ac9d8a2947d,Increasing,0,2024-05-08 19:19:41,2024-05-08 19:22:55,8,1,0,2,0,2024-05-08T19:22:43Z,10.122999906539917,3,0,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,1,0,0,0,0,2024-05-08T19:18:07Z,0,3,0,0
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,2,0,1,0,0,2024-05-08T19:18:17Z,10.013999938964844,2,0,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,3,0,2,0,0,2024-05-08T19:18:27Z,9.874000072479248,2,1,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,4,1,1,0,0,2024-05-08T19:18:34Z,6.6539998054504395,1,0,2
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,5,2,1,0,0,2024-05-08T19:18:39Z,5.059000015258789,1,1,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,6,0,1,0,0,2024-05-08T19:18:43Z,4.253000020980835,2,0,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,7,0,1,1,0,2024-05-08T19:18:48Z,4.937999963760376,3,0,1
5ee0a46b6f43d80354216621,Flat,4,2024-05-08 19:17:58,2024-05-08 19:18:59,8,0,1,2,0,2024-05-08T19:18:53Z,4.559000015258789,2,1,1
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,1,2,1,1,1,2024-05-08T19:18:44Z,0,1,2,0
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,2,2,0,1,1,2024-05-08T19:18:53Z,9.580000162124634,1,3,1
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,3,1,1,1,1,2024-05-08T19:18:59Z,5.927999973297119,1,1,2
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,4,1,1,0,1,2024-05-08T19:19:04Z,4.744999885559082,0,2,1
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,5,1,1,2,1,2024-05-08T19:19:09Z,4.863000154495239,0,1,1
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,6,1,1,1,0,2024-05-08T19:19:14Z,5.1549999713897705,2,0,2
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,7,1,2,1,0,2024-05-08T19:19:19Z,5.014999866485596,3,0,1
6447abcf5525c01385eda994,Increasing,2,2024-05-08 19:18:34,2024-05-08 19:19:32,8,0,2,1,0,2024-05-08T19:19:25Z,6.311000108718872,4,0,1
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,1,0,1,2,0,2024-05-08T19:20:03Z,0,3,2,0
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,2,1,2,0,1,2024-05-08T19:20:13Z,10.279000043869019,0,1,4
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,3,2,1,1,1,2024-05-08T19:20:20Z,6.715000152587891,2,1,3
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,4,1,1,2,1,2024-05-08T19:20:33Z,13.027999877929688,2,2,2
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,5,2,1,1,0,2024-05-08T19:20:40Z,7.364000082015991,3,0,3
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,6,2,1,2,0,2024-05-08T19:20:49Z,8.541999816894531,4,1,1
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,7,2,1,2,1,2024-05-08T19:21:08Z,19.402000188827515,3,2,1
65c5305ca45f87579b9e33e6,Increasing,3,2024-05-08 19:19:51,2024-05-08 19:21:27,8,2,2,2,1,2024-05-08T19:21:18Z,10.289999961853027,2,2,1
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,1,0,0,0,0,2024-05-08T19:20:24Z,0,4,0,0
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,2,0,0,1,0,2024-05-08T19:20:31Z,7.2850000858306885,3,1,1
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,3,0,0,2,0,2024-05-08T19:20:40Z,9.090999841690063,3,0,1
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,4,0,1,0,0,2024-05-08T19:20:53Z,13.16700005531311,3,0,2
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,5,0,2,0,0,2024-05-08T19:20:59Z,5.357000112533569,3,1,1
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,6,0,0,0,1,2024-05-08T19:21:22Z,23.82699990272522,3,1,2
60feba6596fcb1e4a5eedc07,Flat,2,2024-05-08 19:20:16,2024-05-08 19:22:06,7,1,0,0,0,2024-05-08T19:21:38Z,16.033999919891357,3,1,2
