turkid,condition,startdate,enddate,day,chosen_hook,chosen_length,chosen_tone,chosen_content,chosen_cta,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,7,1,0,1,2,1,2024-04-24T21:36:04Z,10.926000118255615,1,1,2
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,8,2,1,0,1,0,2024-04-24T21:36:20Z,16.003999948501587,4,2,5
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,1,0,0,0,0,0,2024-04-24T21:28:11Z,0,2,2,0
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,2,1,1,1,1,1,2024-04-24T21:28:21Z,10.77899980545044,2,1,5
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,3,2,2,1,1,0,2024-04-24T21:28:31Z,9.683000087738037,4,1,3
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,4,2,1,0,1,0,2024-04-24T21:28:40Z,9.062999963760376,2,2,2
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,5,1,1,0,1,0,2024-04-24T21:28:46Z,6.08899998664856,2,1,1
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,6,0,1,0,1,0,2024-04-24T21:28:54Z,7.769000053405762,3,1,1
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,7,0,1,1,1,0,2024-04-24T21:29:06Z,11.990000009536743,4,0,1
610303cc518cc9e3899dcbb7,Increasing,2024-04-24 21:27:46,2024-04-24 21:29:28,8,0,2,1,1,0,2024-04-24T21:29:18Z,11.638000011444092,5,0,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,1,0,0,0,0,0,2024-04-24T21:35:53Z,0,0,4,0
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,2,0,1,0,0,0,2024-04-24T21:35:59Z,5.249000072479248,1,4,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,3,0,2,0,0,0,2024-04-24T21:36:04Z,4.934999942779541,0,5,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,4,0,2,0,1,0,2024-04-24T21:36:10Z,6.822000026702881,1,4,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,5,1,1,1,2,0,2024-04-24T21:36:18Z,7.819999933242798,3,1,4
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,6,1,1,1,2,1,2024-04-24T21:36:23Z,4.3429999351501465,4,0,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,7,1,1,1,1,1,2024-04-24T21:36:28Z,5.677999973297119,5,0,1
6452ad03d8f9a716d9d3a0d5,Flat,2024-04-24 21:35:36,2024-04-24 21:36:40,8,2,1,1,1,1,2024-04-24T21:36:36Z,7.656000137329102,4,0,1
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,1,0,0,0,0,0,2024-04-24T21:28:53Z,0,2,2,0
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,2,1,0,0,1,0,2024-04-24T21:29:08Z,14.78600001335144,3,0,2
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,3,2,0,0,2,0,2024-04-24T21:29:17Z,9.141999959945679,3,0,2
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,4,2,1,0,2,1,2024-04-24T21:29:27Z,10.141000032424927,3,1,2
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,5,2,1,0,2,0,2024-04-24T21:29:31Z,4.135999917984009,4,0,1
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,6,0,1,1,2,0,2024-04-24T21:29:39Z,8.417999982833862,2,2,2
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,7,0,1,0,2,0,2024-04-24T21:29:48Z,8.332000017166138,3,1,1
5f2ed247fc40b227293a1a5e,Flat,2024-04-24 21:28:36,2024-04-24 21:30:00,8,0,1,0,1,0,2024-04-24T21:29:55Z,7.115000009536743,4,1,1
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,1,0,0,0,0,0,2024-04-24T21:29:21Z,0,2,5,0
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,2,0,1,0,1,0,2024-04-24T21:29:31Z,10.205999851226807,4,3,2
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,3,0,2,0,1,0,2024-04-24T21:29:37Z,5.934000015258789,3,3,1
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,4,1,2,0,1,0,2024-04-24T21:29:43Z,6.305000066757202,4,2,1
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,5,1,1,0,2,0,2024-04-24T21:29:51Z,8.26200008392334,4,2,2
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,6,1,1,1,2,0,2024-04-24T21:29:59Z,7.1549999713897705,3,1,1
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,7,1,0,0,2,0,2024-04-24T21:30:05Z,6.0899999141693115,3,3,2
5dd58453bb28b1545e09189d,Increasing,2024-04-24 21:29:09,2024-04-24 21:30:17,8,1,0,0,2,0,2024-04-24T21:30:11Z,6.740000009536743,3,3,0
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,1,0,0,0,0,0,2024-04-24T21:35:29Z,0,2,2,0
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,2,0,0,0,1,0,2024-04-24T21:35:41Z,11.442999839782715,3,1,1
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,3,0,0,0,1,1,2024-04-24T21:35:52Z,11.132000207901001,2,2,1
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,4,0,0,0,2,0,2024-04-24T21:35:58Z,6.273999929428101,2,1,2
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,5,1,0,0,1,0,2024-04-24T21:36:07Z,9.371999979019165,3,2,2
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,6,2,0,0,1,0,2024-04-24T21:36:16Z,8.530999898910522,4,1,1
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,7,2,0,1,1,0,2024-04-24T21:36:24Z,8.410000085830688,3,2,1
62c68d9da16361603d54d308,Increasing,2024-04-24 21:35:19,2024-04-24 21:36:40,8,2,1,1,1,0,2024-04-24T21:36:33Z,8.533999919891357,4,1,1
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,1,1,0,1,1,1,2024-04-24T21:31:03Z,0,3,1,0
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,2,2,0,0,1,1,2024-04-24T21:31:09Z,6.439000129699707,5,0,2
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,3,2,0,0,1,0,2024-04-24T21:31:15Z,5.233999967575073,4,1,1
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,4,2,0,0,2,1,2024-04-24T21:31:19Z,3.995999813079834,4,0,2
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,5,2,0,0,1,1,2024-04-24T21:31:21Z,2.7350001335144043,5,0,1
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,6,2,0,0,1,1,2024-04-24T21:31:24Z,2.322000026702881,5,0,0
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,7,2,0,0,0,1,2024-04-24T21:31:27Z,3.0209999084472656,4,1,1
6266d1937cec5e7a57883e76,Flat,2024-04-24 21:29:47,2024-04-24 21:30:38,8,0,0,0,0,1,2024-04-24T21:31:31Z,3.8480000495910645,3,2,1
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,1,0,0,0,0,0,2024-04-24T21:27:19Z,0,3,0,0
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,2,1,0,1,1,0,2024-04-24T21:27:34Z,15.11300015449524,4,1,3
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,3,1,1,1,2,0,2024-04-24T21:27:46Z,12.263999938964844,2,2,2
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,4,1,0,1,1,1,2024-04-24T21:28:58Z,72.11700010299683,3,2,3
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,5,2,0,0,1,1,2024-04-24T21:29:09Z,10.985999822616577,2,2,2
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,6,0,0,1,1,0,2024-04-24T21:29:33Z,23.347000122070313,5,1,3
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,7,1,1,0,0,0,2024-04-24T21:30:15Z,42.901999950408936,1,0,4
5edf66ed1a0915219e55d5ca,Flat,2024-04-24 21:27:04,2024-04-24 21:30:38,8,0,0,0,1,0,2024-04-24T21:30:31Z,15.48799991607666,4,0,3
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,1,1,0,0,0,0,2024-04-24T22:01:56Z,0,1,3,0
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,2,0,0,0,0,0,2024-04-24T22:04:10Z,134.09800004959106,1,4,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,3,2,0,0,0,0,2024-04-24T22:04:18Z,7.9049999713897705,2,3,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,4,2,1,0,0,0,2024-04-24T22:04:26Z,8.814000129699707,2,2,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,5,2,2,0,0,0,2024-04-24T22:04:30Z,4.034999847412109,3,2,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,6,2,2,1,0,0,2024-04-24T22:04:34Z,3.9010000228881836,4,1,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,7,2,2,1,1,0,2024-04-24T22:04:41Z,6.36899995803833,5,0,1
60919018ce223dc3906d7a7e,Increasing,2024-04-24 21:58:06,2024-04-24 22:04:58,8,2,2,1,1,0,2024-04-24T22:04:50Z,9.659000158309937,5,0,0
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,1,0,1,0,1,0,2024-04-24T21:37:22Z,0,4,1,0
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,2,2,1,0,2,1,2024-04-24T21:38:13Z,50.75999999046326,3,0,3
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,3,0,2,1,1,0,2024-04-24T21:38:44Z,31.033000230789185,2,2,5
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,4,1,0,0,0,1,2024-04-24T21:39:22Z,38.26699995994568,2,3,5
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,5,0,1,0,2,0,2024-04-24T21:40:30Z,68.26600003242493,3,1,4
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,6,2,2,1,1,1,2024-04-24T21:41:09Z,39.098999977111816,2,1,5
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,7,2,1,0,1,0,2024-04-24T21:41:43Z,34.001999855041504,3,1,3
6017642fbe88ba2b560e16ff,Flat,2024-04-24 21:36:48,2024-04-24 21:42:21,8,0,1,1,1,0,2024-04-24T21:42:07Z,23.719000101089478,3,2,2
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,1,0,0,0,0,0,2024-04-24T21:30:52Z,0,1,4,0
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,2,1,0,1,1,1,2024-04-24T21:31:06Z,13.384999990463257,1,2,4
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,3,2,1,0,2,1,2024-04-24T21:31:19Z,13.277999877929688,4,0,4
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,4,2,0,1,0,0,2024-04-24T21:31:30Z,10.861999988555908,1,4,4
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,5,0,2,0,2,1,2024-04-24T21:31:45Z,14.624000072479248,4,1,5
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,6,1,2,0,1,1,2024-04-24T21:31:55Z,10.861000061035156,3,0,2
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,7,1,1,1,2,1,2024-04-24T21:32:08Z,12.888000011444092,2,1,3
605099303a38aa0618da3feb,Increasing,2024-04-24 21:30:32,2024-04-24 21:32:19,8,2,1,0,2,1,2024-04-24T21:32:19Z,10.512999773025513,4,0,2
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,1,0,0,0,0,0,2024-04-24T21:31:09Z,0,3,1,0
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,2,0,0,0,1,0,2024-04-24T21:31:20Z,11.487000226974487,3,0,1
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,3,1,0,0,1,0,2024-04-24T21:31:32Z,11.899999856948853,4,0,1
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,4,1,1,0,1,0,2024-04-24T21:31:42Z,9.719000101089478,3,0,1
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,5,1,0,0,2,0,2024-04-24T21:31:50Z,8.151000022888184,5,0,2
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,6,1,0,1,2,0,2024-04-24T21:31:58Z,7.549999952316284,4,1,1
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,7,2,0,0,2,0,2024-04-24T21:32:04Z,6.484999895095825,4,1,2
63653e8bb62cf485a4716fdb,Flat,2024-04-24 21:30:53,2024-04-24 21:32:19,8,1,0,0,2,1,2024-04-24T21:32:14Z,9.63100004196167,4,1,2
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,1,0,1,0,1,0,2024-04-24T21:31:44Z,0,4,0,0
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,2,1,1,0,1,0,2024-04-24T21:31:56Z,11.325999975204468,5,0,1
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,3,2,1,0,1,0,2024-04-24T21:32:00Z,4.564000129699707,4,1,1
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,4,2,0,0,1,0,2024-04-24T21:32:09Z,8.822999954223633,3,1,1
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,5,2,2,0,2,0,2024-04-24T21:32:19Z,10.521999835968018,2,2,2
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,6,0,2,0,1,0,2024-04-24T21:32:28Z,8.427000045776367,3,1,2
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,7,1,1,0,1,0,2024-04-24T21:32:36Z,7.827000141143799,5,0,2
65160029e4cb93dc37b0c5c8,Increasing,2024-04-24 21:31:33,2024-04-24 21:32:50,8,1,2,0,1,0,2024-04-24T21:32:43Z,7.640999794006348,4,1,1
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,1,0,0,0,0,0,2024-04-24T21:37:34Z,0,2,2,0
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,2,2,0,0,1,1,2024-04-24T21:37:52Z,18.75499987602234,3,1,3
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,3,2,0,0,1,0,2024-04-24T21:38:01Z,9.117000102996826,2,2,1
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,4,1,0,0,2,0,2024-04-24T21:38:10Z,8.095999956130981,1,4,2
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,5,0,1,1,1,1,2024-04-24T21:38:22Z,11.986000061035156,3,1,5
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,6,0,1,0,1,1,2024-04-24T21:38:33Z,11.717000007629395,4,0,1
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,7,1,2,0,1,1,2024-04-24T21:38:44Z,10.73199987411499,4,1,2
61105071fe05cd89830dcc43,Increasing,2024-04-24 21:37:24,2024-04-24 21:39:00,8,1,2,1,1,1,2024-04-24T21:38:55Z,11.122000217437744,3,2,1
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,1,0,0,0,0,0,2024-04-24T21:32:57Z,0,4,1,0
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,2,1,0,0,0,0,2024-04-24T21:33:19Z,21.842999935150146,4,0,1
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,3,2,0,0,0,0,2024-04-24T21:33:25Z,5.664999961853027,5,0,1
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,4,2,1,0,0,0,2024-04-24T21:33:31Z,5.994000196456909,4,0,1
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,5,2,2,0,0,0,2024-04-24T21:33:48Z,17.082000017166138,4,1,1
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,6,2,0,1,0,0,2024-04-24T21:33:59Z,10.696999788284302,4,1,2
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,7,2,0,0,1,0,2024-04-24T21:34:14Z,15.891000032424927,4,1,2
5c5da3b159ec1d0001fe5606,Flat,2024-04-24 21:32:45,2024-04-24 21:34:37,8,2,0,0,2,0,2024-04-24T21:34:31Z,16.460999965667725,4,0,1
5d498490ab6774001538905b,Flat,2024-04-24 21:35:21,2024-04-24 21:37:15,1,0,0,0,2,0,2024-04-24T21:35:50Z,0,1,2,0
5d498490ab6774001538905b,Flat,2024-04-24 21:35:21,2024-04-24 21:37:15,2,1,1,1,1,1,2024-04-24T21:36:05Z,15.288000106811523,3,1,5
5d498490ab6774001538905b,Flat,2024-04-24 21:35:21,2024-04-24 21:37:15,3,2,2,1,0,0,2024-04-24T21:36:19Z,14.104000091552734,2,3,4
5d498490ab6774001538905b,Flat,2024-04-24 21:35:21,2024-04-24 21:37:15,4,1,0,1,1,1,2024-04-24T21:36:32Z,13.167999982833862,2,1,4
5d498490ab6774001538905b,Flat,2024-04-24 21:35:21,2024-04-24 21:37:15,5,1,0,0,2,1,2024-04-24T21:36:43Z,10.655999898910522,2,2,2
